InstanceName: vrplc9_5_40_s4
T: 150
Q: 15
C: 4
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -13        11
       L-2         9        -7
       L-3       -15         8
       L-4       -16       -15
       L-5        -8        15

        R         L         A         B         S         Q
     R-P1       L-1        18        52        14         1
     R-P2       L-3        24        46        13         3
     R-P3       L-1        18        33        16         3
     R-P4       L-3        17        50        17         4
     R-P5       L-5        17        33        18         4
     R-P6       L-1        31        56        14         2
     R-P7       L-2        22        48        15         1
     R-P8       L-1        47        73        18         2
     R-P9       L-2        18        48        10         2
    R-P10       L-4        22        38        15         1
    R-P11       L-1        52        89        14         2
    R-P12       L-1        18        53        10         4
    R-P13       L-4        22        61        11         4
    R-P14       L-4        23        45        18         2
    R-P15       L-3        17        44        15         2
    R-P16       L-2        12        47        11         4
    R-P17       L-2        21        40        14         3
    R-P18       L-4        22        57        12         2
    R-P19       L-1        31        57        15         1
    R-P20       L-5        17        47        13         2
    R-P21       L-3        31        47        13         3
    R-P22       L-3        17        33        10         3
    R-P23       L-5        24        42        10         4
    R-P24       L-5        17        56        14         1
    R-P25       L-3        35        67        12         3
    R-P26       L-1        18        44        16         4
    R-P27       L-1        24        58        17         1
    R-P28       L-3        25        54        16         4
    R-P29       L-4        22        51        15         1
    R-P30       L-2        33        65        11         1
    R-P31       L-5        57        90        10         4
    R-P32       L-2        12        50        19         1
    R-P33       L-1        29        64        13         1
    R-P34       L-3        32        59        10         4
    R-P35       L-5        17        49        14         4
    R-P36       L-3        39        60        13         4
    R-P37       L-1        18        43        16         4
    R-P38       L-1        48        74        15         4
    R-P39       L-4        22        45        13         2
    R-P40       L-5        37        57        12         2
     R-D1       L-5        39        93        14        -1
     R-D2       L-1        41        89        13        -3
     R-D3       L-2        63       121        16        -3
     R-D4       L-1        38       101        17        -4
     R-D5       L-2        63       120        18        -4
     R-D6       L-5        52        94        14        -2
     R-D7       L-4        64       112        15        -1
     R-D8       L-5        72       112        18        -2
     R-D9       L-3        57       105        10        -2
    R-D10       L-2        64       119        15        -1
    R-D11       L-3        70       111        14        -2
    R-D12       L-2        57        97        10        -4
    R-D13       L-3        57       115        11        -4
    R-D14       L-2        68       111        18        -2
    R-D15       L-1        36       101        15        -2
    R-D16       L-1        52       117        11        -4
    R-D17       L-3        64       119        14        -3
    R-D18       L-2        61       107        12        -2
    R-D19       L-3        50       110        15        -1
    R-D20       L-4        62       113        13        -2
    R-D21       L-1        48       103        13        -3
    R-D22       L-1        31        94        10        -3
    R-D23       L-4        66       116        10        -4
    R-D24       L-1        38        84        14        -1
    R-D25       L-5        57       118        12        -3
    R-D26       L-3        38        78        16        -4
    R-D27       L-3        45        97        17        -1
    R-D28       L-1        45        90        16        -4
    R-D29       L-2        64       116        15        -1
    R-D30       L-3        73       119        11        -1
    R-D31       L-3        77       117        10        -4
    R-D32       L-3        60       103        19        -1
    R-D33       L-2        71       116        13        -1
    R-D34       L-2        71       117        10        -4
    R-D35       L-2        59       120        14        -4
    R-D36       L-5        62       105        13        -4
    R-D37       L-5        41        88        16        -4
    R-D38       L-3        67       117        15        -4
    R-D39       L-3        59       109        13        -2
    R-D40       L-2        77       119        12        -2
