InstanceName: vrplc9_11_10_s6
T: 150
Q: 15
C: 6
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -13        11
       L-2         9        -7
       L-3       -15         8
       L-4       -16       -15
       L-5        -8        15
       L-6       -12        -5
       L-7         0       -16
       L-8       -20        14
       L-9         4        -7
      L-10       -19        12
      L-11        -5        -9

        R         L         A         B         S         Q
     R-P1       L-3        17        39        10         3
     R-P2       L-1        18        52        14         1
     R-P3       L-3        24        46        13         3
     R-P4       L-3        17        36        13         4
     R-P5      L-10        34        64        12         2
     R-P6      L-11        43        61        11         4
     R-P7       L-6        13        29        13         4
     R-P8       L-7        16        55        14         3
     R-P9       L-2        21        59        16         1
    R-P10       L-5        17        37        12         4
     R-D1      L-11        47       115        10        -3
     R-D2       L-5        39        93        14        -1
     R-D3       L-1        41        89        13        -3
     R-D4       L-7        59       109        13        -4
     R-D5       L-8        49        92        12        -2
     R-D6       L-3        74       117        11        -4
     R-D7       L-3        40        83        13        -4
     R-D8       L-1        60       104        14        -3
     R-D9      L-11        52       120        16        -1
    R-D10       L-6        50       116        12        -4
