InstanceName: vrplc9_8_15_s1
T: 150
Q: 15
C: 1
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -13        11
       L-2         9        -7
       L-3       -15         8
       L-4       -16       -15
       L-5        -8        15
       L-6       -12        -5
       L-7         0       -16
       L-8       -20        14

        R         L         A         B         S         Q
     R-P1       L-1        18        52        14         1
     R-P2       L-3        24        46        13         3
     R-P3       L-3        17        36        13         4
     R-P4       L-6        13        29        13         4
     R-P5       L-7        16        55        14         3
     R-P6       L-5        17        37        12         4
     R-P7       L-6        13        45        12         2
     R-P8       L-7        22        60        16         1
     R-P9       L-7        30        66        10         4
    R-P10       L-6        37        54        13         2
    R-P11       L-2        12        42        12         4
    R-P12       L-4        22        39        19         1
    R-P13       L-6        18        53        17         2
    R-P14       L-1        18        33        16         3
    R-P15       L-8        25        62        13         4
     R-D1       L-5        39        93        14        -1
     R-D2       L-1        41        89        13        -3
     R-D3       L-7        59       109        13        -4
     R-D4       L-3        40        83        13        -4
     R-D5       L-1        60       104        14        -3
     R-D6       L-6        50       116        12        -4
     R-D7       L-8        46       102        12        -2
     R-D8       L-6        55       106        16        -1
     R-D9       L-1        70       121        10        -4
    R-D10       L-7        67       116        13        -2
    R-D11       L-6        46       111        12        -4
    R-D12       L-6        52       110        19        -1
    R-D13       L-3        49        99        17        -2
    R-D14       L-2        63       121        16        -3
    R-D15       L-6        59       109        13        -4
