InstanceName: vrplc13_5_10_s10
T: 150
Q: 15
C: 10
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -12        -3
       L-2        -7        16
       L-3        16        -2
       L-4        -6       -12
       L-5       -17        -7

        R         L         A         B         S         Q
     R-P1       L-2        18        48        16         3
     R-P2       L-4        16        54        18         4
     R-P3       L-2        18        46        10         2
     R-P4       L-3        17        43        10         2
     R-P5       L-5        19        48        10         4
     R-P6       L-2        28        51        11         3
     R-P7       L-5        47        78        15         1
     R-P8       L-4        14        41        18         3
     R-P9       L-1        14        38        11         1
    R-P10       L-4        14        53        11         2
     R-D1       L-1        54        94        16        -3
     R-D2       L-1        45       111        18        -4
     R-D3       L-5        54       111        10        -2
     R-D4       L-5        61       101        10        -2
     R-D5       L-2        55       110        10        -4
     R-D6       L-1        59       102        11        -3
     R-D7       L-4        75       117        15        -1
     R-D8       L-1        43       109        18        -3
     R-D9       L-2        45        97        11        -1
    R-D10       L-5        38        85        11        -2
