InstanceName: vrplc13_8_40_s1
T: 150
Q: 15
C: 1
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -12        -3
       L-2        -7        16
       L-3        16        -2
       L-4        -6       -12
       L-5       -17        -7
       L-6        -5       -14
       L-7         8       -10
       L-8        16        10

        R         L         A         B         S         Q
     R-P1       L-7        13        44        12         3
     R-P2       L-2        18        48        16         3
     R-P3       L-4        16        54        18         4
     R-P4       L-3        17        46        17         1
     R-P5       L-2        18        46        10         2
     R-P6       L-3        17        43        10         2
     R-P7       L-5        19        46        13         3
     R-P8       L-5        19        48        10         4
     R-P9       L-2        28        51        11         3
    R-P10       L-2        18        33        13         3
    R-P11       L-7        37        65        11         3
    R-P12       L-7        13        46        12         2
    R-P13       L-5        47        78        15         1
    R-P14       L-8        19        40        11         4
    R-P15       L-4        14        41        18         3
    R-P16       L-1        38        65        17         2
    R-P17       L-1        14        38        11         1
    R-P18       L-4        14        53        11         2
    R-P19       L-3        17        35        14         4
    R-P20       L-7        20        40        15         2
    R-P21       L-1        23        54        18         3
    R-P22       L-4        35        71        10         2
    R-P23       L-7        14        48        17         2
    R-P24       L-7        14        40        11         1
    R-P25       L-6        16        50        19         4
    R-P26       L-1        13        33        17         2
    R-P27       L-2        18        48        17         3
    R-P28       L-4        14        50        10         3
    R-P29       L-3        20        43        11         4
    R-P30       L-4        19        54        10         4
    R-P31       L-2        18        52        18         3
    R-P32       L-7        13        30        19         1
    R-P33       L-3        17        48        18         2
    R-P34       L-8        19        53        19         3
    R-P35       L-4        29        61        10         2
    R-P36       L-7        13        37        19         4
    R-P37       L-3        38        67        19         2
    R-P38       L-7        18        57        17         4
    R-P39       L-5        19        35        19         4
    R-P40       L-4        32        67        12         4
     R-D1       L-5        51        96        12        -3
     R-D2       L-1        54        94        16        -3
     R-D3       L-1        45       111        18        -4
     R-D4       L-8        46       103        17        -1
     R-D5       L-5        54       111        10        -2
     R-D6       L-5        61       101        10        -2
     R-D7       L-7        58       107        13        -3
     R-D8       L-2        55       110        10        -4
     R-D9       L-1        59       102        11        -3
    R-D10       L-6        62       102        13        -3
    R-D11       L-8        70       118        11        -3
    R-D12       L-6        39        91        12        -2
    R-D13       L-4        75       117        15        -1
    R-D14       L-4        62       109        11        -4
    R-D15       L-1        43       109        18        -3
    R-D16       L-6        69       117        17        -2
    R-D17       L-2        45        97        11        -1
    R-D18       L-5        38        85        11        -2
    R-D19       L-5        65       113        14        -4
    R-D20       L-4        50       103        15        -2
    R-D21       L-2        61       110        18        -3
    R-D22       L-5        58       103        10        -2
    R-D23       L-3        43       100        17        -2
    R-D24       L-2        56       112        11        -1
    R-D25       L-3        60       110        19        -4
    R-D26       L-5        37        91        17        -2
    R-D27       L-3        65       105        17        -3
    R-D28       L-2        53       113        10        -3
    R-D29       L-8        43        91        11        -4
    R-D30       L-6        32        93        10        -4
    R-D31       L-1        56       111        18        -3
    R-D32       L-3        44       111        19        -1
    R-D33       L-1        64       114        18        -2
    R-D34       L-7        60       118        19        -3
    R-D35       L-1        50       109        10        -2
    R-D36       L-8        54       110        19        -4
    R-D37       L-7        69       116        19        -2
    R-D38       L-4        50       119        17        -4
    R-D39       L-1        45       113        19        -4
    R-D40       L-3        69       111        12        -4
