InstanceName: vrplc13_11_10_s7
T: 150
Q: 15
C: 7
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -12        -3
       L-2        -7        16
       L-3        16        -2
       L-4        -6       -12
       L-5       -17        -7
       L-6        -5       -14
       L-7         8       -10
       L-8        16        10
       L-9       -16       -14
      L-10        -2         3
      L-11        -7        14

        R         L         A         B         S         Q
     R-P1      L-11        16        31        14         2
     R-P2       L-9        27        54        19         2
     R-P3      L-10        28        49        13         1
     R-P4       L-7        13        44        12         3
     R-P5      L-10        21        45        19         4
     R-P6       L-8        44        75        10         4
     R-P7      L-10        37        73        10         3
     R-P8       L-2        18        48        16         3
     R-P9       L-4        16        54        18         4
    R-P10       L-3        17        46        17         1
     R-D1       L-1        48       116        14        -2
     R-D2       L-5        54       102        19        -2
     R-D3       L-2        55       109        13        -1
     R-D4       L-5        51        96        12        -3
     R-D5       L-5        59       107        19        -4
     R-D6      L-10        74       135        10        -4
     R-D7       L-2        61       106        10        -3
     R-D8       L-1        54        94        16        -3
     R-D9       L-1        45       111        18        -4
    R-D10       L-8        46       103        17        -1
