InstanceName: Solomon-R107-50
Q: 200

         R         X         Y         Q         A         B         S
       R-D        35        35         0         0       230         0
       R-1        41        49        10         0       204        10
       R-2        35        17         7         0       202        10
       R-3        55        45        13         0       197        10
       R-4        55        20        19       139       169        10
       R-5        15        30        26         0       199        10
       R-6        25        30         3        89       119        10
       R-7        20        50         5         0       198        10
       R-8        10        43         9        85       115        10
       R-9        55        60        16        87       117        10
      R-10        30        60        16       114       144        10
      R-11        20        65        12        57        87        10
      R-12        50        35        19         0       205        10
      R-13        30        25        23       149       179        10
      R-14        15        10        20         0       187        10
      R-15        30         5         8        51        81        10
      R-16        10        20        19         0       190        10
      R-17         5        30         2       147       177        10
      R-18        20        40        12         0       204        10
      R-19        15        60        17         0       187        10
      R-20        45        65         9         0       188        10
      R-21        45        20        11         0       201        10
      R-22        45        10        18        87       117        10
      R-23        55         5        29        58        88        10
      R-24        65        35         3         0       190        10
      R-25        65        20         6       156       186        10
      R-26        45        30        17         0       208        10
      R-27        35        40        16        27        57        10
      R-28        41        37        16         0       213        10
      R-29        64        42         9         0       190        10
      R-30        40        60        21        61        91        10
      R-31        31        52        27         0       202        10
      R-32        35        69        23         0       186        10
      R-33        53        52        11        27        57        10
      R-34        65        55        14         0       183        10
      R-35        63        65         8       133       163        10
      R-36         2        60         5        41        71        10
      R-37        20        20         8         0       198        10
      R-38         5         5        16        73       103        10
      R-39        60        12        31        34        64        10
      R-40        40        25         9        75       105        10
      R-41        42         7         5        87       117        10
      R-42        24        12         5        25        55        10
      R-43        23         3         7         0       185        10
      R-44        11        14        18        59        89        10
      R-45         6        38        16        29        59        10
      R-46         2        48         1         0       184        10
      R-47         8        56        27         0       185        10
      R-48        13        52        36         0       192        10
      R-49         6        68        30        98       128        10
      R-50        47        47        13         0       203        10
