InstanceName: Solomon-R209-50
Q: 1000

         R         X         Y         Q         A         B         S
       R-D        35        35         0         0      1000         0
       R-1        41        49        10       636       919        10
       R-2        35        17         7        74       351        10
       R-3        55        45        13       498       613        10
       R-4        55        20        19       470       965        10
       R-5        15        30        26        20       370        10
       R-6        25        30         3       266       663        10
       R-7        20        50         5       292       449        10
       R-8        10        43         9       288       597        10
       R-9        55        60        16       254       643        10
      R-10        30        60        16       496       713        10
      R-11        20        65        12        33       510        10
      R-12        50        35        19       170       403        10
      R-13        30        25        23       426       978        10
      R-14        15        10        20        32       454        10
      R-15        30         5         8        30       529        10
      R-16        10        20        19       222       423        10
      R-17         5        30         2       409       959        10
      R-18        20        40        12       349       462        10
      R-19        15        60        17       215       432        10
      R-20        45        65         9       538       709        10
      R-21        45        20        11       156       389        10
      R-22        45        10        18       280       623        10
      R-23        55         5        29        36       513        10
      R-24        65        35         3       633       918        10
      R-25        65        20         6       400       956        10
      R-26        45        30        17       548       707        10
      R-27        35        40        16         5       612        10
      R-28        41        37        16        44       325        10
      R-29        64        42         9       129       374        10
      R-30        40        60        21       115       498        10
      R-31        31        52        27        91       336        10
      R-32        35        69        23       602       835        10
      R-33        53        52        11        24       646        10
      R-34        65        55        14       487       656        10
      R-35        63        65         8       439       948        10
      R-36         2        60         5        41       710        10
      R-37        20        20         8       563       736        10
      R-38         5         5        16       147       560        10
      R-39        60        12        31        33       797        10
      R-40        40        25         9       243       554        10
      R-41        42         7         5       225       682        10
      R-42        24        12         5        25       616        10
      R-43        23         3         7       578       747        10
      R-44        11        14        18        72       501        10
      R-45         6        38        16        29       669        10
      R-46         2        48         1       458       685        10
      R-47         8        56        27        34       362        10
      R-48        13        52        36       694       962        10
      R-49         6        68        30       444       597        10
      R-50        47        47        13       499       690        10
