InstanceName: Solomon-RC106-25
Q: 200

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0       240         0
       R-1        25        85        20       130       190        10
       R-2        22        75        30        35        95        10
       R-3        22        85        10        94       154        10
       R-4        20        80        40       126       186        10
       R-5        20        85        20        40       100        10
       R-6        18        75        20        80       140        10
       R-7        15        75        20        64       124        10
       R-8        15        80        10        76       136        10
       R-9        10        35        20        76       136        10
      R-10        10        40        30       104       164        10
      R-11         8        40        40        44       104        10
      R-12         8        45        20        49       109        10
      R-13         5        35        10       127       187        10
      R-14         5        45        10        35        95        10
      R-15         2        40        20        43       103        10
      R-16         0        40        20        57       117        10
      R-17         0        45        20       129       189        10
      R-18        44         5        20        72       132        10
      R-19        42        10        40        57       117        10
      R-20        42        15        10       107       167        10
      R-21        40         5        10        52       112        10
      R-22        40        15        40        77       137        10
      R-23        38         5        30        50       110        10
      R-24        38        15        10       133       193        10
      R-25        35         5        20       124       184        10
