InstanceName: Solomon-R110-75
Q: 200

         R         X         Y         Q         A         B         S
       R-D        35        35         0         0       230         0
       R-1        41        49        10       130       201        10
       R-2        35        17         7        20        89        10
       R-3        55        45        13       106       135        10
       R-4        55        20        19        71       195        10
       R-5        15        30        26        20       107        10
       R-6        25        30         3        54       153        10
       R-7        20        50         5        66       105        10
       R-8        10        43         9        61       138        10
       R-9        55        60        16        53       150        10
      R-10        30        60        16       101       156        10
      R-11        20        65        12        33       152        10
      R-12        50        35        19        38        97        10
      R-13        30        25        23        70       208        10
      R-14        15        10        20        32       137        10
      R-15        30         5         8        30       154        10
      R-16        10        20        19        54       105        10
      R-17         5        30         2        51       189        10
      R-18        20        40        12        77       106        10
      R-19        15        60        17        53       108        10
      R-20        45        65         9       109       152        10
      R-21        45        20        11        37        96        10
      R-22        45        10        18        59       144        10
      R-23        55         5        29        36       155        10
      R-24        65        35         3       118       190        10
      R-25        65        20         6        47       186        10
      R-26        45        30        17       117       156        10
      R-27        35        40        16         5       156        10
      R-28        41        37        16         8        79        10
      R-29        64        42         9        37        98        10
      R-30        40        60        21        28       123        10
      R-31        31        52        27        24        85        10
      R-32        35        69        23       116       175        10
      R-33        53        52        11        24       179        10
      R-34        65        55        14       100       143        10
      R-35        63        65         8        50       178        10
      R-36         2        60         5        41       178        10
      R-37        20        20         8       117       160        10
      R-38         5         5        16        42       145        10
      R-39        60        12        31        33       186        10
      R-40        40        25         9        51       128        10
      R-41        42         7         5        44       159        10
      R-42        24        12         5        25       172        10
      R-43        23         3         7       115       158        10
      R-44        11        14        18        31       138        10
      R-45         6        38        16        29       189        10
      R-46         2        48         1        93       150        10
      R-47         8        56        27        34       116        10
      R-48        13        52        36       125       192        10
      R-49         6        68        30        93       132        10
      R-50        47        47        13       105       152        10
      R-51        49        58        10        66       119        10
      R-52        27        43         9        25        88        10
      R-53        37        31        14        62       137        10
      R-54        57        29        18       121       168        10
      R-55        63        23         2        70       189        10
      R-56        53        12         6        81       188        10
      R-57        32        12         7        78       133        10
      R-58        36        26        18        79       210        10
      R-59        21        24        28        17       123        10
      R-60        17        34         3       130       201        10
      R-61        12        24        13        59       102        10
      R-62        24        58        19        25       164        10
      R-63        27        69        10        34       112        10
      R-64        15        77         9        46       165        10
      R-65        62        77        20        49       170        10
      R-66        49        73        25        77       179        10
      R-67        67         5        25        43       150        10
      R-68        56        39        36        82       198        10
      R-69        37        47         6        12       142        10
      R-70        37        56         5        21       198        10
      R-71        57        68        15        57       106        10
      R-72        47        16        25        22       110        10
      R-73        44        17         9        60       105        10
      R-74        46        13         8        73       195        10
      R-75        49        11        18        46       101        10
