InstanceName: Solomon-C105-100
Q: 200

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0      1236         0
       R-1        45        68        10       885       994        90
       R-2        45        70        30       802       893        90
       R-3        42        66        10        25       186        90
       R-4        42        68        10       699       810        90
       R-5        42        65        10        15       120        90
       R-6        40        69        20       580       743        90
       R-7        40        66        20       142       253        90
       R-8        38        68        20       220       359        90
       R-9        38        70        10       499       640        90
      R-10        35        66        10       331       436        90
      R-11        35        69        10       420       533        90
      R-12        25        85        20       617       756        90
      R-13        22        75        30        30       155        90
      R-14        22        85        10       541       646        90
      R-15        20        80        40       362       451        90
      R-16        20        85        40       448       555        90
      R-17        18        75        20        75       172        90
      R-18        15        75        20       142       291        90
      R-19        15        80        10       244       379        90
      R-20        30        50        10        10       137        90
      R-21        30        52        20       888       991        90
      R-22        28        52        20       776       919        90
      R-23        28        55        10       709       800        90
      R-24        25        50        10        25       184        90
      R-25        25        52        40       142       251        90
      R-26        25        55        10       582       741        90
      R-27        23        52        10       234       343        90
      R-28        23        55        20       523       616        90
      R-29        20        50        10       335       428        90
      R-30        20        55        10       422       531        90
      R-31        10        35        20       181       256        90
      R-32        10        40        30        31       170        90
      R-33         8        40        40        52       193        90
      R-34         8        45        20       719       848        90
      R-35         5        35        10       252       375        90
      R-36         5        45        10       639       742        90
      R-37         2        40        20       357       460        90
      R-38         0        40        30       457       544        90
      R-39         0        45        20       538       653        90
      R-40        35        30        10       236       349        90
      R-41        35        32        10       132       269        90
      R-42        33        32        20        27       190        90
      R-43        33        35        10        16       144        90
      R-44        32        30        10       332       439        90
      R-45        30        30        10       512       629        90
      R-46        30        32        30       417       540        90
      R-47        30        35        10       982      1127        90
      R-48        28        30        10       601       724        90
      R-49        28        35        10       969      1098        90
      R-50        26        32        10       783       912        90
      R-51        25        30        10       695       816        90
      R-52        25        35        10       883       998        90
      R-53        44         5        20       255       378        90
      R-54        42        10        40       150       293        90
      R-55        42        15        10        63       190        90
      R-56        40         5        30       359       462        90
      R-57        40        15        40        35       140        90
      R-58        38         5        30       439       566        90
      R-59        38        15        10       607       784        90
      R-60        35         5        20       529       662        90
      R-61        50        30        10       491       650        90
      R-62        50        35        20       235       344        90
      R-63        50        40        50       147       242        90
      R-64        48        30        10       601       724        90
      R-65        48        40        10        50       155        90
      R-66        47        35        10       802       899        90
      R-67        47        40        10        12       143        90
      R-68        45        30        10       712       799        90
      R-69        45        35        10       889       996        90
      R-70        95        30        30       353       490        90
      R-71        95        35        20       260       393        90
      R-72        53        30        10       422       533        90
      R-73        92        30        10       442       587        90
      R-74        53        35        50       323       442        90
      R-75        45        65        20       962      1103        90
      R-76        90        35        10       175       288        90
      R-77        88        30        10       539       678        90
      R-78        88        35        20        78       201        90
      R-79        87        30        10       636       763        90
      R-80        85        25        10       744       845        90
      R-81        85        35        30        47       201        90
      R-82        75        55        20       344       445        90
      R-83        72        55        10       228       375        90
      R-84        70        58        20       425       556        90
      R-85        68        60        30       527       640        90
      R-86        66        55        10       141       270        90
      R-87        65        55        20        56       173        90
      R-88        65        60        30       614       739        90
      R-89        63        58        10       705       834        90
      R-90        60        55        10        20       148        90
      R-91        60        60        10       809       916        90
      R-92        67        85        20       331       478        90
      R-93        65        85        40       453       540        90
      R-94        65        82        10       260       361        90
      R-95        62        80        30       174       261        90
      R-96        60        80        10        64       187        90
      R-97        60        85        30       531       652        90
      R-98        58        75        20        30       139        90
      R-99        55        80        10       705       858        90
     R-100        55        85        20       608       765        90
