InstanceName: Solomon-C205-25
Q: 700

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0      3390         0
       R-1        52        75        10       231       551        90
       R-2        45        70        30       133       453        90
       R-3        62        69        10      1087      1407        90
       R-4        60        66        10      1181      1501        90
       R-5        42        65        10        15       335        90
       R-6        16        42        20       417       737        90
       R-7        58        70        20       993      1313        90
       R-8        34        60        20      2807      3127        90
       R-9        28        70        10      2521      2841        90
      R-10        35        66        10      2711      3031        90
      R-11        35        69        10      2618      2938        90
      R-12        25        85        20      2039      2359        90
      R-13        22        75        30      2325      2645        90
      R-14        22        85        10      1946      2266        90
      R-15        20        80        40      2136      2456        90
      R-16        20        85        40      1854      2174        90
      R-17        18        75        20      2231      2551        90
      R-18        15        75        20      1662      1982        90
      R-19        15        80        10      1757      2077        90
      R-20        30        50        10        10       330        90
      R-21        30        56        20      2903      3223        90
      R-22        28        52        20        12       332        90
      R-23        14        66        10      1563      1883        90
      R-24        25        50        10        36       356        90
      R-25        22        66        40      2424      2744        90
