InstanceName: Solomon-RC101-25
Q: 200

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0       240         0
       R-1        25        85        20       145       175        10
       R-2        22        75        30        50        80        10
       R-3        22        85        10       109       139        10
       R-4        20        80        40       141       171        10
       R-5        20        85        20        41        71        10
       R-6        18        75        20        95       125        10
       R-7        15        75        20        79       109        10
       R-8        15        80        10        91       121        10
       R-9        10        35        20        91       121        10
      R-10        10        40        30       119       149        10
      R-11         8        40        40        59        89        10
      R-12         8        45        20        64        94        10
      R-13         5        35        10       142       172        10
      R-14         5        45        10        35        65        10
      R-15         2        40        20        58        88        10
      R-16         0        40        20        72       102        10
      R-17         0        45        20       149       179        10
      R-18        44         5        20        87       117        10
      R-19        42        10        40        72       102        10
      R-20        42        15        10       122       152        10
      R-21        40         5        10        67        97        10
      R-22        40        15        40        92       122        10
      R-23        38         5        30        65        95        10
      R-24        38        15        10       148       178        10
      R-25        35         5        20       154       184        10
