InstanceName: Solomon-C208-75
Q: 700

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0      3390         0
       R-1        52        75        10        71       711        90
       R-2        45        70        30        20       660        90
       R-3        62        69        10       927      1567        90
       R-4        60        66        10      1021      1661        90
       R-5        42        65        10        15       655        90
       R-6        16        42        20       257       897        90
       R-7        58        70        20       833      1473        90
       R-8        34        60        20      2647      3287        90
       R-9        28        70        10      2361      3001        90
      R-10        35        66        10      2551      3191        90
      R-11        35        69        10      2458      3098        90
      R-12        25        85        20      1879      2519        90
      R-13        22        75        30      2165      2805        90
      R-14        22        85        10      1786      2426        90
      R-15        20        80        40      1976      2616        90
      R-16        20        85        40      1694      2334        90
      R-17        18        75        20      2071      2711        90
      R-18        15        75        20      1502      2142        90
      R-19        15        80        10      1597      2237        90
      R-20        30        50        10        10       650        90
      R-21        30        56        20      2648      3288        90
      R-22        28        52        20        12       652        90
      R-23        14        66        10      1403      2043        90
      R-24        25        50        10        15       655        90
      R-25        22        66        40      2264      2904        90
      R-26         8        62        10      1305      1945        90
      R-27        23        52        10        17       657        90
      R-28         4        55        20      1207      1847        90
      R-29        20        50        10       158       798        90
      R-30        20        55        10        63       703        90
      R-31        10        35        20       541      1181        90
      R-32        10        40        30       353       993        90
      R-33         8        40        40       445      1085        90
      R-34         8        45        20      1106      1746        90
      R-35         5        35        10       636      1276        90
      R-36         5        45        10      1013      1653        90
      R-37         2        40        20       731      1371        90
      R-38         0        40        30       823      1463        90
      R-39         0        45        20       918      1558        90
      R-40        36        18        10      1579      2219        90
      R-41        35        32        10      2518      3158        90
      R-42        33        32        20      2426      3066        90
      R-43        33        35        10      2333      2973        90
      R-44        32        20        10      1673      2313        90
      R-45        30        30        10      1865      2505        90
      R-46        34        25        30      1769      2409        90
      R-47        30        35        10      2240      2880        90
      R-48        36        40        10      2616      3256        90
      R-49        48        20        10       727      1367        90
      R-50        26        32        10      2052      2692        90
      R-51        25        30        10      1960      2600        90
      R-52        25        35        10      2145      2785        90
      R-53        44         5        20      1016      1656        90
      R-54        42        10        40       920      1560        90
      R-55        42        15        10       825      1465        90
      R-56        40         5        30      1110      1750        90
      R-57        38        15        40      1485      2125        90
      R-58        38         5        30      1202      1842        90
      R-59        38        10        10      1390      2030        90
      R-60        35         5        20      1295      1935        90
      R-61        50        30        10       161       801        90
      R-62        50        35        20        18       658        90
      R-63        50        40        50        14       654        90
      R-64        48        30        10       253       893        90
      R-65        44        25        10       631      1271        90
      R-66        47        35        10       348       988        90
      R-67        47        40        10        12       652        90
      R-68        42        30        10       536      1176        90
      R-69        45        35        10       440      1080        90
      R-70        95        30        30      2081      2721        90
      R-71        95        35        20      1986      2626        90
      R-72        53        30        10        68       708        90
      R-73        92        30        10      2174      2814        90
      R-74        53        35        50        19       659        90
      R-75        45        65        20        15       655        90
