InstanceName: Solomon-C109-50
Q: 200

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0      1236         0
       R-1        45        68        10       760      1120        90
       R-2        45        70        30       668      1028        90
       R-3        42        66        10        16       376        90
       R-4        42        68        10       575       935        90
       R-5        42        65        10        15       375        90
       R-6        40        69        20       482       842        90
       R-7        40        66        20        18       378        90
       R-8        38        68        20       110       470        90
       R-9        38        70        10       390       750        90
      R-10        35        66        10       204       564        90
      R-11        35        69        10       297       657        90
      R-12        25        85        20       507       867        90
      R-13        22        75        30        30       390        90
      R-14        22        85        10       414       774        90
      R-15        20        80        40       227       587        90
      R-16        20        85        40       322       682        90
      R-17        18        75        20        33       393        90
      R-18        15        75        20        37       397        90
      R-19        15        80        10       132       492        90
      R-20        30        50        10        10       370        90
      R-21        30        52        20       760      1120        90
      R-22        28        52        20       668      1028        90
      R-23        28        55        10       575       935        90
      R-24        25        50        10        15       375        90
      R-25        25        52        40        17       377        90
      R-26        25        55        10       482       842        90
      R-27        23        52        10       109       469        90
      R-28        23        55        20       390       750        90
      R-29        20        50        10       202       562        90
      R-30        20        55        10       297       657        90
      R-31        10        35        20        39       399        90
      R-32        10        40        30        31       391        90
      R-33         8        40        40        33       393        90
      R-34         8        45        20       604       964        90
      R-35         5        35        10       134       494        90
      R-36         5        45        10       511       871        90
      R-37         2        40        20       229       589        90
      R-38         0        40        30       321       681        90
      R-39         0        45        20       416       776        90
      R-40        35        30        10       113       473        90
      R-41        35        32        10        21       381        90
      R-42        33        32        20        19       379        90
      R-43        33        35        10        16       376        90
      R-44        32        30        10       206       566        90
      R-45        30        30        10       391       751        90
      R-46        30        32        30       299       659        90
      R-47        30        35        10       767      1127        90
      R-48        28        30        10       483       843        90
      R-49        28        35        10       766      1126        90
      R-50        26        32        10       668      1028        90
