InstanceName: Solomon-C107-25
Q: 200

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0      1236         0
       R-1        45        68        10       850      1030        90
       R-2        45        70        30       758       938        90
       R-3        42        66        10        16       196        90
       R-4        42        68        10       665       845        90
       R-5        42        65        10        15       195        90
       R-6        40        69        20       572       752        90
       R-7        40        66        20       108       288        90
       R-8        38        68        20       200       380        90
       R-9        38        70        10       480       660        90
      R-10        35        66        10       294       474        90
      R-11        35        69        10       387       567        90
      R-12        25        85        20       597       777        90
      R-13        22        75        30        30       210        90
      R-14        22        85        10       504       684        90
      R-15        20        80        40       317       497        90
      R-16        20        85        40       412       592        90
      R-17        18        75        20        34       214        90
      R-18        15        75        20       127       307        90
      R-19        15        80        10       222       402        90
      R-20        30        50        10        10       190        90
      R-21        30        52        20       850      1030        90
      R-22        28        52        20       758       938        90
      R-23        28        55        10       665       845        90
      R-24        25        50        10        15       195        90
      R-25        25        52        40       107       287        90
