InstanceName: Solomon-RC202-50
Q: 1000

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0       960         0
       R-1        25        85        20         0       911        10
       R-2        22        75        30         0       919        10
       R-3        22        85        10         0       910        10
       R-4        20        80        40       644       764        10
       R-5        20        85        20         0       909        10
       R-6        18        75        20       388       508        10
       R-7        15        75        20         0       914        10
       R-8        15        80        10       367       487        10
       R-9        10        35        20       371       491        10
      R-10        10        40        30       519       639        10
      R-11         8        40        40       195       315        10
      R-12         8        45        20         0       917        10
      R-13         5        35        10       653       773        10
      R-14         5        45        10        35       155        10
      R-15         2        40        20       174       294        10
      R-16         0        40        20       255       375        10
      R-17         0        45        20       703       823        10
      R-18        44         5        20       335       455        10
      R-19        42        10        40       254       374        10
      R-20        42        15        10       537       657        10
      R-21        40         5        10         0       905        10
      R-22        40        15        40       375       495        10
      R-23        38         5        30       201       321        10
      R-24        38        15        10       681       801        10
      R-25        35         5        20       784       904        10
      R-26        95        30        30         0       891        10
      R-27        95        35        20       146       266        10
      R-28        92        30        10       149       269        10
      R-29        90        35        10       194       314        10
      R-30        88        30        10       246       366        10
      R-31        88        35        20         0       899        10
      R-32        87        30        10       621       741        10
      R-33        85        25        10        80       200        10
      R-34        85        35        30         0       902        10
      R-35        67        85        20       657       777        10
      R-36        65        85        40        43       163        10
      R-37        65        82        10         0       909        10
      R-38        62        80        30       278       398        10
      R-39        60        80        10        64       184        10
      R-40        60        85        30       329       449        10
      R-41        58        75        20       376       496        10
      R-42        55        80        10        33       153        10
      R-43        55        85        20       574       694        10
      R-44        55        82        10       217       337        10
      R-45        20        82        10        37       157        10
      R-46        18        80        10       489       609        10
      R-47         2        45        10       105       225        10
      R-48        42         5        10         0       904        10
      R-49        42        12        10       440       560        10
      R-50        72        35        30         0       914        10
