InstanceName: Solomon-RC207-75
Q: 1000

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0       960         0
       R-1        25        85        20       591       874        10
       R-2        22        75        30        73       350        10
       R-3        22        85        10       473       588        10
       R-4        20        80        40       418       913        10
       R-5        20        85        20        40       390        10
       R-6        18        75        20       249       646        10
       R-7        15        75        20       281       438        10
       R-8        15        80        10       272       581        10
       R-9        10        35        20       236       625        10
      R-10        10        40        30       470       687        10
      R-11         8        40        40        33       510        10
      R-12         8        45        20       166       399        10
      R-13         5        35        10       359       911        10
      R-14         5        45        10        35       457        10
      R-15         2        40        20        39       538        10
      R-16         0        40        20       214       415        10
      R-17         0        45        20       359       909        10
      R-18        44         5        20       338       451        10
      R-19        42        10        40       205       422        10
      R-20        42        15        10       511       682        10
      R-21        40         5        10       158       391        10
      R-22        40        15        40       263       606        10
      R-23        38         5        30        45       522        10
      R-24        38        15        10       598       883        10
      R-25        35         5        20       348       904        10
      R-26        95        30        30       509       668        10
      R-27        95        35        20        57       664        10
      R-28        92        30        10        68       349        10
      R-29        90        35        10       131       376        10
      R-30        88        30        10       114       497        10
      R-31        88        35        20       102       347        10
      R-32        87        30        10       564       797        10
      R-33        85        25        10        51       673        10
      R-34        85        35        30       462       631        10
      R-35        67        85        20       396       905        10
      R-36        65        85        40        43       712        10
      R-37        65        82        10       530       703        10
      R-38        62        80        30       131       544        10
      R-39        60        80        10        36       800        10
      R-40        60        85        30       233       544        10
      R-41        58        75        20       207       664        10
      R-42        55        80        10        33       624        10
      R-43        55        85        20       549       718        10
      R-44        55        82        10        62       491        10
      R-45        20        82        10        37       677        10
      R-46        18        80        10       435       662        10
      R-47         2        45        10        38       366        10
      R-48        42         5        10       636       904        10
      R-49        42        12        10       423       576        10
      R-50        72        35        30       471       662        10
      R-51        55        20        19       281       490        10
      R-52        25        30         3       109       360        10
      R-53        20        50         5       284       585        10
      R-54        55        60        16       568       753        10
      R-55        30        60        16       421       896        10
      R-56        50        35        19       404       829        10
      R-57        30        25        23       347       566        10
      R-58        15        10        20       380       902        10
      R-59        10        20        19        42       466        10
      R-60        15        60        17       613       894        10
      R-61        45        65         9       230       405        10
      R-62        65        35         3        29       587        10
      R-63        65        20         6        39       353        10
      R-64        45        30        17        20       497        10
      R-65        35        40        16        11       570        10
      R-66        41        37        16       423       828        10
      R-67        64        42         9       112       543        10
      R-68        40        60        21       441       902        10
      R-69        31        52        27         9       532        10
      R-70        35        69        23       211       930        10
      R-71        65        55        14       201       400        10
      R-72        63        65         8        27       382        10
      R-73         2        60         5       255       436        10
      R-74        20        20         8       427       913        10
      R-75         5         5        16       183       400        10
