InstanceName: Solomon-RC201-75
Q: 1000

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0       960         0
       R-1        25        85        20       673       793        10
       R-2        22        75        30       152       272        10
       R-3        22        85        10       471       591        10
       R-4        20        80        40       644       764        10
       R-5        20        85        20        73       193        10
       R-6        18        75        20       388       508        10
       R-7        15        75        20       300       420        10
       R-8        15        80        10       367       487        10
       R-9        10        35        20       371       491        10
      R-10        10        40        30       519       639        10
      R-11         8        40        40       195       315        10
      R-12         8        45        20       223       343        10
      R-13         5        35        10       653       773        10
      R-14         5        45        10        35       155        10
      R-15         2        40        20       174       294        10
      R-16         0        40        20       255       375        10
      R-17         0        45        20       703       823        10
      R-18        44         5        20       335       455        10
      R-19        42        10        40       254       374        10
      R-20        42        15        10       537       657        10
      R-21        40         5        10       215       335        10
      R-22        40        15        40       375       495        10
      R-23        38         5        30       201       321        10
      R-24        38        15        10       681       801        10
      R-25        35         5        20       784       904        10
      R-26        95        30        30       529       649        10
      R-27        95        35        20       146       266        10
      R-28        92        30        10       149       269        10
      R-29        90        35        10       194       314        10
      R-30        88        30        10       246       366        10
      R-31        88        35        20       165       285        10
      R-32        87        30        10       621       741        10
      R-33        85        25        10        80       200        10
      R-34        85        35        30       487       607        10
      R-35        67        85        20       657       777        10
      R-36        65        85        40        43       163        10
      R-37        65        82        10       557       677        10
      R-38        62        80        30       278       398        10
      R-39        60        80        10        64       184        10
      R-40        60        85        30       329       449        10
      R-41        58        75        20       376       496        10
      R-42        55        80        10        33       153        10
      R-43        55        85        20       574       694        10
      R-44        55        82        10       217       337        10
      R-45        20        82        10        37       157        10
      R-46        18        80        10       489       609        10
      R-47         2        45        10       105       225        10
      R-48        42         5        10       732       852        10
      R-49        42        12        10       440       560        10
      R-50        72        35        30       507       627        10
      R-51        55        20        19       326       446        10
      R-52        25        30         3       175       295        10
      R-53        20        50         5       375       495        10
      R-54        55        60        16       601       721        10
      R-55        30        60        16       599       719        10
      R-56        50        35        19       557       677        10
      R-57        30        25        23       397       517        10
      R-58        15        10        20       782       902        10
      R-59        10        20        19        42       162        10
      R-60        15        60        17       694       814        10
      R-61        45        65         9       258       378        10
      R-62        65        35         3       167       287        10
      R-63        65        20         6        39       159        10
      R-64        45        30        17       191       311        10
      R-65        35        40        16        11       131        10
      R-66        41        37        16       566       686        10
      R-67        64        42         9       268       388        10
      R-68        40        60        21       612       732        10
      R-69        31        52        27       157       277        10
      R-70        35        69        23       810       930        10
      R-71        65        55        14       241       361        10
      R-72        63        65         8        60       180        10
      R-73         2        60         5       286       406        10
      R-74        20        20         8       645       765        10
      R-75         5         5        16       232       352        10
