InstanceName: Solomon-C207-75
Q: 700

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0      3390         0
       R-1        52        75        10       302       479        90
       R-2        45        70        30       157       428        90
       R-3        62        69        10      1138      1355        90
       R-4        60        66        10      1247      1434        90
       R-5        42        65        10        15       208        90
       R-6        16        42        20       209       944        90
       R-7        58        70        20      1059      1246        90
       R-8        34        60        20      2035      3288        90
       R-9        28        70        10      2090      3271        90
      R-10        35        66        10      2311      3283        90
      R-11        35        69        10      2428      3127        90
      R-12        25        85        20      1772      2625        90
      R-13        22        75        30      2135      2834        90
      R-14        22        85        10      1586      2625        90
      R-15        20        80        40      1858      2733        90
      R-16        20        85        40      1512      2515        90
      R-17        18        75        20      1895      2886        90
      R-18        15        75        20      1299      2344        90
      R-19        15        80        10      1461      2372        90
      R-20        30        50        10        10       963        90
      R-21        30        56        20      2062      3288        90
      R-22        28        52        20        12       752        90
      R-23        14        66        10      1316      2129        90
      R-24        25        50        10        15       532        90
      R-25        22        66        40      2177      2990        90
      R-26         8        62        10      1036      2213        90
      R-27        23        52        10        17       602        90
      R-28         4        55        20      1010      2043        90
      R-29        20        50        10        20       948        90
      R-30        20        55        10        63       702        90
      R-31        10        35        20       309      1412        90
      R-32        10        40        30       336      1009        90
      R-33         8        40        40       234      1295        90
      R-34         8        45        20       954      1897        90
      R-35         5        35        10       377      1534        90
      R-36         5        45        10       819      1846        90
      R-37         2        40        20       494      1607        90
      R-38         0        40        30       637      1648        90
      R-39         0        45        20       834      1641        90
      R-40        36        18        10      1468      2329        90
      R-41        35        32        10      2480      3195        90
      R-42        33        32        20      2421      3070        90
      R-43        33        35        10      2368      2937        90
      R-44        32        20        10      1621      2364        90
      R-45        30        30        10      1805      2564        90
      R-46        34        25        30      1782      2395        90
      R-47        30        35        10      2242      2877        90
      R-48        36        40        10      2605      3266        90
      R-49        48        20        10       812      1281        90
      R-50        26        32        10      1842      2901        90
      R-51        25        30        10      1883      2676        90
      R-52        25        35        10      2070      2859        90
      R-53        44         5        20      1078      1593        90
      R-54        42        10        40       998      1481        90
      R-55        42        15        10       897      1392        90
      R-56        40         5        30      1083      1776        90
      R-57        38        15        40      1426      2183        90
      R-58        38         5        30      1133      1910        90
      R-59        38        10        10      1392      2027        90
      R-60        35         5        20      1180      2049        90
      R-61        50        30        10       223       738        90
      R-62        50        35        20        18       474        90
      R-63        50        40        50        14       360        90
      R-64        48        30        10       246       899        90
      R-65        44        25        10       704      1197        90
      R-66        47        35        10       393       942        90
      R-67        47        40        10        12       424        90
      R-68        42        30        10       641      1070        90
      R-69        45        35        10       534       985        90
      R-70        95        30        30      2119      2682        90
      R-71        95        35        20      2192      2419        90
      R-72        53        30        10       131       644        90
      R-73        92        30        10      2169      2818        90
      R-74        53        35        50        87       498        90
      R-75        45        65        20        49       346        90
