InstanceName: Solomon-R109-25
Q: 200

         R         X         Y         Q         A         B         S
       R-D        35        35         0         0       230         0
       R-1        41        49        10       133       198        10
       R-2        35        17         7        22        87        10
       R-3        55        45        13        98       143        10
       R-4        55        20        19       123       184        10
       R-5        15        30        26        20        93        10
       R-6        25        30         3        76       131        10
       R-7        20        50         5        61       110        10
       R-8        10        43         9        75       124        10
       R-9        55        60        16        74       129        10
      R-10        30        60        16       107       150        10
      R-11        20        65        12        42       101        10
      R-12        50        35        19        38        97        10
      R-13        30        25        23       131       196        10
      R-14        15        10        20        32       114        10
      R-15        30         5         8        35        96        10
      R-16        10        20        19        52       107        10
      R-17         5        30         2       124       189        10
      R-18        20        40        12        69       114        10
      R-19        15        60        17        52       109        10
      R-20        45        65         9       105       156        10
      R-21        45        20        11        37        96        10
      R-22        45        10        18        76       127        10
      R-23        55         5        29        43       102        10
      R-24        65        35         3       124       190        10
      R-25        65        20         6       121       186        10
