InstanceName: Solomon-C204-100
Q: 700

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0      3390         0
       R-1        52        75        10         0      3272        90
       R-2        45        70        30         0      3279        90
       R-3        62        69        10         0      3270        90
       R-4        60        66        10      1261      1421        90
       R-5        42        65        10         0      3284        90
       R-6        16        42        20         0      3274        90
       R-7        58        70        20         0      3273        90
       R-8        34        60        20      2887      3047        90
       R-9        28        70        10      2601      2761        90
      R-10        35        66        10         0      3283        90
      R-11        35        69        10      2698      2858        90
      R-12        25        85        20         0      3261        90
      R-13        22        75        30      2405      2565        90
      R-14        22        85        10         0      3260        90
      R-15        20        80        40      2216      2376        90
      R-16        20        85        40         0      3259        90
      R-17        18        75        20         0      3266        90
      R-18        15        75        20         0      3264        90
      R-19        15        80        10         0      3260        90
      R-20        30        50        10         0      3290        90
      R-21        30        56        20         0      3288        90
      R-22        28        52        20         0      3287        90
      R-23        14        66        10      1643      1803        90
      R-24        25        50        10         0      3285        90
      R-25        22        66        40      2504      2664        90
      R-26         8        62        10         0      3265        90
      R-27        23        52        10         0      3282        90
      R-28         4        55        20         0      3263        90
      R-29        20        50        10         0      3280        90
      R-30        20        55        10         0      3279        90
      R-31        10        35        20         0      3266        90
      R-32        10        40        30         0      3268        90
      R-33         8        40        40         0      3266        90
      R-34         8        45        20         0      3267        90
      R-35         5        35        10         0      3261        90
      R-36         5        45        10         0      3264        90
      R-37         2        40        20         0      3260        90
      R-38         0        40        30      1063      1223        90
      R-39         0        45        20         0      3259        90
      R-40        36        18        10         0      3267        90
      R-41        35        32        10         0      3281        90
      R-42        33        32        20         0      3280        90
      R-43        33        35        10         0      3283        90
      R-44        32        20        10      1913      2073        90
      R-45        30        30        10         0      3277        90
      R-46        34        25        30         0      3274        90
      R-47        30        35        10         0      3281        90
      R-48        36        40        10         0      3289        90
      R-49        48        20        10         0      3268        90
      R-50        26        32        10         0      3277        90
      R-51        25        30        10         0      3275        90
      R-52        25        35        10         0      3278        90
      R-53        44         5        20      1256      1416        90
      R-54        42        10        40         0      3259        90
      R-55        42        15        10      1065      1225        90
      R-56        40         5        30         0      3255        90
      R-57        38        15        40         0      3264        90
      R-58        38         5        30      1442      1602        90
      R-59        38        10        10         0      3259        90
      R-60        35         5        20         0      3254        90
      R-61        50        30        10         0      3277        90
      R-62        50        35        20       120       280        90
      R-63        50        40        50         0      3285        90
      R-64        48        30        10         0      3278        90
      R-65        44        25        10         0      3274        90
      R-66        47        35        10         0      3283        90
      R-67        47        40        10        12       172        90
      R-68        42        30        10         0      3279        90
      R-69        45        35        10       680       840        90
      R-70        95        30        30         0      3241        90
      R-71        95        35        20         0      3242        90
      R-72        53        30        10         0      3276        90
      R-73        92        30        10         0      3244        90
      R-74        53        35        50       213       373        90
      R-75        45        65        20         0      3284        90
      R-76        90        35        10      2131      2291        90
      R-77        72        45        10      2900      3060        90
      R-78        78        40        20         0      3260        90
      R-79        87        30        10      2608      2768        90
      R-80        85        25        10         0      3248        90
      R-81        85        35        30         0      3252        90
      R-82        75        55        20         0      3264        90
      R-83        72        55        10         0      3267        90
      R-84        70        58        20      1641      1801        90
      R-85        86        46        30         0      3253        90
      R-86        66        55        10         0      3273        90
      R-87        64        46        20      3097      3257        90
      R-88        65        60        30         0      3273        90
      R-89        56        64        10         0      3278        90
      R-90        60        55        10         0      3279        90
      R-91        60        60        10         0      3277        90
      R-92        67        85        20       694       854        90
      R-93        42        58        40         0      3291        90
      R-94        65        82        10         0      3259        90
      R-95        62        80        30         0      3262        90
      R-96        62        40        10         0      3275        90
      R-97        60        85        30         0      3259        90
      R-98        58        75        20         0      3269        90
      R-99        55        80        10       407       567        90
     R-100        55        85        20       502       662        90
