InstanceName: Solomon-R112-50
Q: 200

         R         X         Y         Q         A         B         S
       R-D        35        35         0         0       230         0
       R-1        41        49        10        73       204        10
       R-2        35        17         7        18       147        10
       R-3        55        45        13        76       165        10
       R-4        55        20        19        73       195        10
       R-5        15        30        26        20       167        10
       R-6        25        30         3        49       158        10
       R-7        20        50         5        36       135        10
       R-8        10        43         9        50       149        10
       R-9        55        60        16        47       156        10
      R-10        30        60        16        85       172        10
      R-11        20        65        12        33       152        10
      R-12        50        35        19        15       133        10
      R-13        30        25        23        79       208        10
      R-14        15        10        20        32       187        10
      R-15        30         5         8        30       152        10
      R-16        10        20        19        29       139        10
      R-17         5        30         2        60       189        10
      R-18        20        40        12        47       136        10
      R-19        15        60        17        32       146        10
      R-20        45        65         9        79       182        10
      R-21        45        20        11        18       136        10
      R-22        45        10        18        50       153        10
      R-23        55         5        29        36       155        10
      R-24        65        35         3        58       190        10
      R-25        65        20         6        56       186        10
      R-26        45        30        17        87       186        10
      R-27        35        40        16         5       140        10
      R-28        41        37        16         6       136        10
      R-29        64        42         9        29       150        10
      R-30        40        60        21        25       132        10
      R-31        31        52        27        17       138        10
      R-32        35        69        23        67       186        10
      R-33        53        52        11        24       161        10
      R-34        65        55        14        70       173        10
      R-35        63        65         8        54       178        10
      R-36         2        60         5        41       178        10
      R-37        20        20         8        87       190        10
      R-38         5         5        16        42       153        10
      R-39        60        12        31        33       186        10
      R-40        40        25         9        40       139        10
      R-41        42         7         5        43       160        10
      R-42        24        12         5        25       158        10
      R-43        23         3         7        82       185        10
      R-44        11        14        18        31       144        10
      R-45         6        38        16        29       169        10
      R-46         2        48         1        63       180        10
      R-47         8        56        27        34       176        10
      R-48        13        52        36        65       192        10
      R-49         6        68        30        73       152        10
      R-50        47        47        13        75       182        10
