InstanceName: Solomon-C108-50
Q: 200

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0      1236         0
       R-1        45        68        10       830      1049        90
       R-2        45        70        30       756       939        90
       R-3        42        66        10        16       336        90
       R-4        42        68        10       643       866        90
       R-5        42        65        10        15       226        90
       R-6        40        69        20       499       824        90
       R-7        40        66        20        87       308        90
       R-8        38        68        20       150       429        90
       R-9        38        70        10       429       710        90
      R-10        35        66        10       279       488        90
      R-11        35        69        10       363       590        90
      R-12        25        85        20       547       826        90
      R-13        22        75        30        30       280        90
      R-14        22        85        10       489       698        90
      R-15        20        80        40       318       495        90
      R-16        20        85        40       394       609        90
      R-17        18        75        20        33       226        90
      R-18        15        75        20        68       365        90
      R-19        15        80        10       176       447        90
      R-20        30        50        10        10       265        90
      R-21        30        52        20       836      1043        90
      R-22        28        52        20       704       991        90
      R-23        28        55        10       664       845        90
      R-24        25        50        10        15       333        90
      R-25        25        52        40        88       305        90
      R-26        25        55        10       502       821        90
      R-27        23        52        10       179       398        90
      R-28        23        55        20       476       663        90
      R-29        20        50        10       288       475        90
      R-30        20        55        10       368       585        90
      R-31        10        35        20       144       293        90
      R-32        10        40        30        31       309        90
      R-33         8        40        40        33       313        90
      R-34         8        45        20       655       912        90
      R-35         5        35        10       191       436        90
      R-36         5        45        10       588       793        90
      R-37         2        40        20       305       512        90
      R-38         0        40        30       414       587        90
      R-39         0        45        20       481       710        90
      R-40        35        30        10       180       405        90
      R-41        35        32        10        63       338        90
      R-42        33        32        20        19       345        90
      R-43        33        35        10        16       273        90
      R-44        32        30        10       278       493        90
      R-45        30        30        10       453       688        90
      R-46        30        32        30       355       602        90
      R-47        30        35        10       837      1127        90
      R-48        28        30        10       539       786        90
      R-49        28        35        10       867      1126        90
      R-50        26        32        10       719       976        90
