InstanceName: Solomon-C105-25
Q: 200

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0      1236         0
       R-1        45        68        10       885       994        90
       R-2        45        70        30       802       893        90
       R-3        42        66        10        25       186        90
       R-4        42        68        10       699       810        90
       R-5        42        65        10        15       120        90
       R-6        40        69        20       580       743        90
       R-7        40        66        20       142       253        90
       R-8        38        68        20       220       359        90
       R-9        38        70        10       499       640        90
      R-10        35        66        10       331       436        90
      R-11        35        69        10       420       533        90
      R-12        25        85        20       617       756        90
      R-13        22        75        30        30       155        90
      R-14        22        85        10       541       646        90
      R-15        20        80        40       362       451        90
      R-16        20        85        40       448       555        90
      R-17        18        75        20        75       172        90
      R-18        15        75        20       142       291        90
      R-19        15        80        10       244       379        90
      R-20        30        50        10        10       137        90
      R-21        30        52        20       888       991        90
      R-22        28        52        20       776       919        90
      R-23        28        55        10       709       800        90
      R-24        25        50        10        25       184        90
      R-25        25        52        40       142       251        90
