InstanceName: Solomon-C106-25
Q: 200

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0      1236         0
       R-1        45        68        10       890       989        90
       R-2        45        70        30       816       879        90
       R-3        42        66        10        55       156        90
       R-4        42        68        10       703       806        90
       R-5        42        65        10        15        60        90
       R-6        40        69        20       559       764        90
       R-7        40        66        20       172       223        90
       R-8        38        68        20       250       329        90
       R-9        38        70        10       489       650        90
      R-10        35        66        10       361       406        90
      R-11        35        69        10       450       503        90
      R-12        25        85        20       647       726        90
      R-13        22        75        30        30        95        90
      R-14        22        85        10       571       616        90
      R-15        20        80        40       392       421        90
      R-16        20        85        40       478       525        90
      R-17        18        75        20       105       142        90
      R-18        15        75        20       172       261        90
      R-19        15        80        10       274       349        90
      R-20        30        50        10        10        77        90
      R-21        30        52        20       918       961        90
      R-22        28        52        20       806       889        90
      R-23        28        55        10       739       770        90
      R-24        25        50        10        55       154        90
      R-25        25        52        40       172       221        90
