InstanceName: Solomon-R104-25
Q: 200

         R         X         Y         Q         A         B         S
       R-D        35        35         0         0       230         0
       R-1        41        49        10         0       204        10
       R-2        35        17         7         0       202        10
       R-3        55        45        13         0       197        10
       R-4        55        20        19       149       159        10
       R-5        15        30        26         0       199        10
       R-6        25        30         3         0       208        10
       R-7        20        50         5         0       198        10
       R-8        10        43         9        95       105        10
       R-9        55        60        16        97       107        10
      R-10        30        60        16         0       194        10
      R-11        20        65        12        67        77        10
      R-12        50        35        19         0       205        10
      R-13        30        25        23       159       169        10
      R-14        15        10        20         0       187        10
      R-15        30         5         8        61        71        10
      R-16        10        20        19         0       190        10
      R-17         5        30         2         0       189        10
      R-18        20        40        12         0       204        10
      R-19        15        60        17         0       187        10
      R-20        45        65         9         0       188        10
      R-21        45        20        11         0       201        10
      R-22        45        10        18         0       193        10
      R-23        55         5        29        68        78        10
      R-24        65        35         3         0       190        10
      R-25        65        20         6       172       182        10
