InstanceName: Solomon-RC105-75
Q: 200

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0       240         0
       R-1        25        85        20        71       191        10
       R-2        22        75        30        30       150        10
       R-3        22        85        10        64       184        10
       R-4        20        80        40       151       161        10
       R-5        20        85        20        40       160        10
       R-6        18        75        20        96       123        10
       R-7        15        75        20        35       155        10
       R-8        15        80        10       101       111        10
       R-9        10        35        20       101       111        10
      R-10        10        40        30       123       144        10
      R-11         8        40        40        69        79        10
      R-12         8        45        20        32       152        10
      R-13         5        35        10       152       162        10
      R-14         5        45        10        35       117        10
      R-15         2        40        20        68        78        10
      R-16         0        40        20        59       114        10
      R-17         0        45        20       147       180        10
      R-18        44         5        20        79       124        10
      R-19        42        10        40        58       115        10
      R-20        42        15        10       111       162        10
      R-21        40         5        10        45       165        10
      R-22        40        15        40        94       119        10
      R-23        38         5        30        75        85        10
      R-24        38        15        10       128       194        10
      R-25        35         5        20       171       181        10
      R-26        95        30        30        58       171        10
      R-27        95        35        20        60        93        10
      R-28        92        30        10        55       120        10
      R-29        90        35        10        52       112        10
      R-30        88        30        10        75       102        10
      R-31        88        35        20        50       170        10
      R-32        87        30        10       116       175        10
      R-33        85        25        10        51        85        10
      R-34        85        35        30        62       182        10
      R-35        67        85        20       138       169        10
      R-36        65        85        40        43        78        10
      R-37        65        82        10        69       189        10
      R-38        62        80        30        85        95        10
      R-39        60        80        10        36        74        10
      R-40        60        85        30        87       112        10
      R-41        58        75        20        92       121        10
      R-42        55        80        10        33        66        10
      R-43        55        85        20       117       168        10
      R-44        55        82        10        74        84        10
      R-45        20        82        10        37        72        10
      R-46        18        80        10        98       157        10
      R-47         2        45        10        38       109        10
      R-48        42         5        10        64       184        10
      R-49        42        12        10       109       128        10
      R-50        72        35        30        71       191        10
      R-51        55        20        19        69       126        10
      R-52        25        30         3        25       145        10
      R-53        20        50         5       101       111        10
      R-54        55        60        16       127       180        10
      R-55        30        60        16       150       160        10
      R-56        50        35        19       130       159        10
      R-57        30        25        23        82       139        10
      R-58        15        10        20       172       182        10
      R-59        10        20        19        42       162        10
      R-60        15        60        17       137       202        10
      R-61        45        65         9        55       106        10
      R-62        65        35         3        62        72        10
      R-63        65        20         6        39       108        10
      R-64        45        30        17        53        82        10
      R-65        35        40        16        11        43        10
      R-66        41        37        16       134       161        10
      R-67        64        42         9        80        90        10
      R-68        40        60        21       144       173        10
      R-69        31        52        27        51        61        10
      R-70        35        69        23       172       210        10
      R-71        65        55        14        52       107        10
      R-72        63        65         8        27       147        10
      R-73         2        60         5        65       118        10
      R-74        20        20         8       151       161        10
      R-75         5         5        16        57       172        10
