InstanceName: Solomon-C206-75
Q: 700

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0      3390         0
       R-1        52        75        10       213       568        90
       R-2        45        70        30        22       563        90
       R-3        62        69        10      1030      1463        90
       R-4        60        66        10      1154      1527        90
       R-5        42        65        10        15       402        90
       R-6        16        42        20       331       822        90
       R-7        58        70        20       965      1340        90
       R-8        34        60        20      2653      3280        90
       R-9        28        70        10      2385      2976        90
      R-10        35        66        10      2628      3113        90
      R-11        35        69        10      2603      2952        90
      R-12        25        85        20      1985      2412        90
      R-13        22        75        30      2310      2659        90
      R-14        22        85        10      1846      2365        90
      R-15        20        80        40      2077      2514        90
      R-16        20        85        40      1763      2264        90
      R-17        18        75        20      2143      2638        90
      R-18        15        75        20      1560      2083        90
      R-19        15        80        10      1689      2144        90
      R-20        30        50        10        10       645        90
      R-21        30        56        20      2675      3288        90
      R-22        28        52        20        12       505        90
      R-23        14        66        10      1519      1926        90
      R-24        25        50        10        23       368        90
      R-25        22        66        40      2380      2787        90
      R-26         8        62        10      1330      1919        90
      R-27        23        52        10        93       484        90
      R-28         4        55        20      1268      1785        90
      R-29        20        50        10       168       787        90
      R-30        20        55        10       170       595        90
      R-31        10        35        20       585      1136        90
      R-32        10        40        30       448       897        90
      R-33         8        40        40       499      1030        90
      R-34         8        45        20      1190      1661        90
      R-35         5        35        10       666      1245        90
      R-36         5        45        10      1076      1589        90
      R-37         2        40        20       772      1329        90
      R-38         0        40        30       890      1395        90
      R-39         0        45        20      1036      1439        90
      R-40        36        18        10      1612      2185        90
      R-41        35        32        10      2599      3076        90
      R-42        33        32        20      2529      2962        90
      R-43        33        35        10      2463      2842        90
      R-44        32        20        10      1745      2240        90
      R-45        30        30        10      1932      2437        90
      R-46        34        25        30      1884      2293        90
      R-47        30        35        10      2348      2771        90
      R-48        36        40        10      2715      3156        90
      R-49        48        20        10       812      1281        90
      R-50        26        32        10      2018      2725        90
      R-51        25        30        10      2015      2544        90
      R-52        25        35        10      2201      2728        90
      R-53        44         5        20      1078      1593        90
      R-54        42        10        40       998      1481        90
      R-55        42        15        10       897      1392        90
      R-56        40         5        30      1199      1660        90
      R-57        38        15        40      1552      2057        90
      R-58        38         5        30      1263      1780        90
      R-59        38        10        10      1498      1921        90
      R-60        35         5        20      1325      1904        90
      R-61        50        30        10       223       738        90
      R-62        50        35        20        18       474        90
      R-63        50        40        50        14       360        90
      R-64        48        30        10       246       899        90
      R-65        44        25        10       704      1197        90
      R-66        47        35        10       393       942        90
      R-67        47        40        10        12       424        90
      R-68        42        30        10       641      1070        90
      R-69        45        35        10       534       985        90
      R-70        95        30        30      2119      2682        90
      R-71        95        35        20      2079      2532        90
      R-72        53        30        10       131       644        90
      R-73        92        30        10      2169      2818        90
      R-74        53        35        50        87       498        90
      R-75        45        65        20        15       607        90
