InstanceName: Solomon-C208-25
Q: 700

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0      3390         0
       R-1        52        75        10        71       711        90
       R-2        45        70        30        20       660        90
       R-3        62        69        10       927      1567        90
       R-4        60        66        10      1021      1661        90
       R-5        42        65        10        15       655        90
       R-6        16        42        20       257       897        90
       R-7        58        70        20       833      1473        90
       R-8        34        60        20      2647      3287        90
       R-9        28        70        10      2361      3001        90
      R-10        35        66        10      2551      3191        90
      R-11        35        69        10      2458      3098        90
      R-12        25        85        20      1879      2519        90
      R-13        22        75        30      2165      2805        90
      R-14        22        85        10      1786      2426        90
      R-15        20        80        40      1976      2616        90
      R-16        20        85        40      1694      2334        90
      R-17        18        75        20      2071      2711        90
      R-18        15        75        20      1502      2142        90
      R-19        15        80        10      1597      2237        90
      R-20        30        50        10        10       650        90
      R-21        30        56        20      2648      3288        90
      R-22        28        52        20        12       652        90
      R-23        14        66        10      1403      2043        90
      R-24        25        50        10        15       655        90
      R-25        22        66        40      2264      2904        90
