InstanceName: Solomon-R201-50
Q: 1000

         R         X         Y         Q         A         B         S
       R-D        35        35         0         0      1000         0
       R-1        41        49        10       707       848        10
       R-2        35        17         7       143       282        10
       R-3        55        45        13       527       584        10
       R-4        55        20        19       678       801        10
       R-5        15        30        26        34       209        10
       R-6        25        30         3       415       514        10
       R-7        20        50         5       331       410        10
       R-8        10        43         9       404       481        10
       R-9        55        60        16       400       497        10
      R-10        30        60        16       577       632        10
      R-11        20        65        12       206       325        10
      R-12        50        35        19       228       345        10
      R-13        30        25        23       690       827        10
      R-14        15        10        20        32       243        10
      R-15        30         5         8       175       300        10
      R-16        10        20        19       272       373        10
      R-17         5        30         2       733       870        10
      R-18        20        40        12       377       434        10
      R-19        15        60        17       269       378        10
      R-20        45        65         9       581       666        10
      R-21        45        20        11       214       331        10
      R-22        45        10        18       409       494        10
      R-23        55         5        29       206       325        10
      R-24        65        35         3       704       847        10
      R-25        65        20         6       817       956        10
      R-26        45        30        17       588       667        10
      R-27        35        40        16       104       255        10
      R-28        41        37        16       114       255        10
      R-29        64        42         9       190       313        10
      R-30        40        60        21       259       354        10
      R-31        31        52        27       152       275        10
      R-32        35        69        23       660       777        10
      R-33        53        52        11        45       200        10
      R-34        65        55        14       529       614        10
      R-35        63        65         8       686       813        10
      R-36         2        60         5        41       208        10
      R-37        20        20         8       606       693        10
      R-38         5         5        16       302       405        10
      R-39        60        12        31        33       224        10
      R-40        40        25         9       360       437        10
      R-41        42         7         5       396       511        10
      R-42        24        12         5        25       172        10
      R-43        23         3         7       620       705        10
      R-44        11        14        18       233       340        10
      R-45         6        38        16        29       189        10
      R-46         2        48         1       515       628        10
      R-47         8        56        27        85       250        10
      R-48        13        52        36       773       906        10
      R-49         6        68        30       501       540        10
      R-50        47        47        13       547       642        10
