InstanceName: Solomon-RC107-50
Q: 200

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0       240         0
       R-1        25        85        20       125       191        10
       R-2        22        75        30        32        97        10
       R-3        22        85        10       101       146        10
       R-4        20        80        40        71       193        10
       R-5        20        85        20        40       113        10
       R-6        18        75        20        55       164        10
       R-7        15        75        20        69       118        10
       R-8        15        80        10        56       155        10
       R-9        10        35        20        51       160        10
      R-10        10        40        30        90       177        10
      R-11         8        40        40        33       152        10
      R-12         8        45        20        49       108        10
      R-13         5        35        10        62       191        10
      R-14         5        45        10        35       117        10
      R-15         2        40        20        39       161        10
      R-16         0        40        20        59       114        10
      R-17         0        45        20        60       189        10
      R-18        44         5        20        79       124        10
      R-19        42        10        40        58       115        10
      R-20        42        15        10       111       162        10
      R-21        40         5        10        52       111        10
      R-22        40        15        40        55       158        10
      R-23        38         5        30        45       164        10
      R-24        38        15        10       128       194        10
      R-25        35         5        20        54       184        10
      R-26        95        30        30       105       154        10
      R-27        95        35        20        57       172        10
      R-28        92        30        10        55       120        10
      R-29        90        35        10        52       112        10
      R-30        88        30        10        52       159        10
      R-31        88        35        20        50       110        10
      R-32        87        30        10       116       175        10
      R-33        85        25        10        51       178        10
      R-34        85        35        30       100       151        10
      R-35        67        85        20        61       185        10
      R-36        65        85        40        43       186        10
      R-37        65        82        10       113       164        10
      R-38        62        80        30        37       148        10
      R-39        60        80        10        36       191        10
      R-40        60        85        30        50       149        10
      R-41        58        75        20        48       165        10
      R-42        55        80        10        33       166        10
      R-43        55        85        20       117       168        10
      R-44        55        82        10        35       148        10
      R-45        20        82        10        37       177        10
      R-46        18        80        10        98       157        10
      R-47         2        45        10        38       109        10
      R-48        42         5        10       120       184        10
      R-49        42        12        10        79       158        10
      R-50        72        35        30       104       157        10
