InstanceName: Solomon-C107-50
Q: 200

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0      1236         0
       R-1        45        68        10       850      1030        90
       R-2        45        70        30       758       938        90
       R-3        42        66        10        16       196        90
       R-4        42        68        10       665       845        90
       R-5        42        65        10        15       195        90
       R-6        40        69        20       572       752        90
       R-7        40        66        20       108       288        90
       R-8        38        68        20       200       380        90
       R-9        38        70        10       480       660        90
      R-10        35        66        10       294       474        90
      R-11        35        69        10       387       567        90
      R-12        25        85        20       597       777        90
      R-13        22        75        30        30       210        90
      R-14        22        85        10       504       684        90
      R-15        20        80        40       317       497        90
      R-16        20        85        40       412       592        90
      R-17        18        75        20        34       214        90
      R-18        15        75        20       127       307        90
      R-19        15        80        10       222       402        90
      R-20        30        50        10        10       190        90
      R-21        30        52        20       850      1030        90
      R-22        28        52        20       758       938        90
      R-23        28        55        10       665       845        90
      R-24        25        50        10        15       195        90
      R-25        25        52        40       107       287        90
      R-26        25        55        10       572       752        90
      R-27        23        52        10       199       379        90
      R-28        23        55        20       480       660        90
      R-29        20        50        10       292       472        90
      R-30        20        55        10       387       567        90
      R-31        10        35        20       129       309        90
      R-32        10        40        30        31       211        90
      R-33         8        40        40        33       213        90
      R-34         8        45        20       694       874        90
      R-35         5        35        10       224       404        90
      R-36         5        45        10       601       781        90
      R-37         2        40        20       319       499        90
      R-38         0        40        30       411       591        90
      R-39         0        45        20       506       686        90
      R-40        35        30        10       203       383        90
      R-41        35        32        10       111       291        90
      R-42        33        32        20        19       199        90
      R-43        33        35        10        16       196        90
      R-44        32        30        10       296       476        90
      R-45        30        30        10       481       661        90
      R-46        30        32        30       389       569        90
      R-47        30        35        10       947      1127        90
      R-48        28        30        10       573       753        90
      R-49        28        35        10       944      1124        90
      R-50        26        32        10       758       938        90
