InstanceName: Solomon-RC205-50
Q: 1000

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0       960         0
       R-1        25        85        20       431       911        10
       R-2        22        75        30        30       510        10
       R-3        22        85        10       291       771        10
       R-4        20        80        40       674       734        10
       R-5        20        85        20        40       520        10
       R-6        18        75        20       393       502        10
       R-7        15        75        20       120       600        10
       R-8        15        80        10       397       457        10
       R-9        10        35        20       401       461        10
      R-10        10        40        30       535       622        10
      R-11         8        40        40       225       285        10
      R-12         8        45        20        43       523        10
      R-13         5        35        10       683       743        10
      R-14         5        45        10        35       366        10
      R-15         2        40        20       204       264        10
      R-16         0        40        20       204       425        10
      R-17         0        45        20       698       827        10
      R-18        44         5        20       306       483        10
      R-19        42        10        40       199       428        10
      R-20        42        15        10       494       699        10
      R-21        40         5        10        45       525        10
      R-22        40        15        40       383       486        10
      R-23        38         5        30       231       291        10
      R-24        38        15        10       609       872        10
      R-25        35         5        20       821       881        10
      R-26        95        30        30       349       829        10
      R-27        95        35        20       138       273        10
      R-28        92        30        10        78       339        10
      R-29        90        35        10       132       375        10
      R-30        88        30        10       252       359        10
      R-31        88        35        20        50       530        10
      R-32        87        30        10       562       799        10
      R-33        85        25        10        71       208        10
      R-34        85        35        30       307       787        10
      R-35        67        85        20       655       778        10
      R-36        65        85        40        43       186        10
      R-37        65        82        10       377       857        10
      R-38        62        80        30       308       368        10
      R-39        60        80        10        46       201        10
      R-40        60        85        30       339       438        10
      R-41        58        75        20       377       494        10
      R-42        55        80        10        33       166        10
      R-43        55        85        20       531       736        10
      R-44        55        82        10       247       307        10
      R-45        20        82        10        37       177        10
      R-46        18        80        10       432       665        10
      R-47         2        45        10        38       322        10
      R-48        42         5        10       424       904        10
      R-49        42        12        10       460       539        10
      R-50        72        35        30       327       807        10
