InstanceName: Solomon-R106-25
Q: 200

         R         X         Y         Q         A         B         S
       R-D        35        35         0         0       230         0
       R-1        41        49        10         0       204        10
       R-2        35        17         7         0       202        10
       R-3        55        45        13         0       197        10
       R-4        55        20        19       139       169        10
       R-5        15        30        26         0       199        10
       R-6        25        30         3        89       119        10
       R-7        20        50         5         0       198        10
       R-8        10        43         9        85       115        10
       R-9        55        60        16        87       117        10
      R-10        30        60        16       114       144        10
      R-11        20        65        12        57        87        10
      R-12        50        35        19         0       205        10
      R-13        30        25        23       149       179        10
      R-14        15        10        20        32        62        10
      R-15        30         5         8        51        81        10
      R-16        10        20        19        65        95        10
      R-17         5        30         2       147       177        10
      R-18        20        40        12        77       107        10
      R-19        15        60        17        66        96        10
      R-20        45        65         9       116       146        10
      R-21        45        20        11         0       201        10
      R-22        45        10        18        87       117        10
      R-23        55         5        29        58        88        10
      R-24        65        35         3       143       173        10
      R-25        65        20         6       156       186        10
