InstanceName: Solomon-RC106-50
Q: 200

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0       240         0
       R-1        25        85        20       130       190        10
       R-2        22        75        30        35        95        10
       R-3        22        85        10        94       154        10
       R-4        20        80        40       126       186        10
       R-5        20        85        20        40       100        10
       R-6        18        75        20        80       140        10
       R-7        15        75        20        64       124        10
       R-8        15        80        10        76       136        10
       R-9        10        35        20        76       136        10
      R-10        10        40        30       104       164        10
      R-11         8        40        40        44       104        10
      R-12         8        45        20        49       109        10
      R-13         5        35        10       127       187        10
      R-14         5        45        10        35        95        10
      R-15         2        40        20        43       103        10
      R-16         0        40        20        57       117        10
      R-17         0        45        20       129       189        10
      R-18        44         5        20        72       132        10
      R-19        42        10        40        57       117        10
      R-20        42        15        10       107       167        10
      R-21        40         5        10        52       112        10
      R-22        40        15        40        77       137        10
      R-23        38         5        30        50       110        10
      R-24        38        15        10       133       193        10
      R-25        35         5        20       124       184        10
      R-26        95        30        30       100       160        10
      R-27        95        35        20        57       117        10
      R-28        92        30        10        55       115        10
      R-29        90        35        10        52       112        10
      R-30        88        30        10        59       119        10
      R-31        88        35        20        50       110        10
      R-32        87        30        10       116       176        10
      R-33        85        25        10        51       111        10
      R-34        85        35        30        96       156        10
      R-35        67        85        20       124       184        10
      R-36        65        85        40        43       103        10
      R-37        65        82        10       109       169        10
      R-38        62        80        30        60       120        10
      R-39        60        80        10        36        96        10
      R-40        60        85        30        70       130        10
      R-41        58        75        20        77       137        10
      R-42        55        80        10        33        93        10
      R-43        55        85        20       113       173        10
      R-44        55        82        10        49       109        10
      R-45        20        82        10        37        97        10
      R-46        18        80        10        98       158        10
      R-47         2        45        10        38        98        10
      R-48        42         5        10       124       184        10
      R-49        42        12        10        89       149        10
      R-50        72        35        30       101       161        10
