InstanceName: Solomon-C205-50
Q: 700

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0      3390         0
       R-1        52        75        10       231       551        90
       R-2        45        70        30       133       453        90
       R-3        62        69        10      1087      1407        90
       R-4        60        66        10      1181      1501        90
       R-5        42        65        10        15       335        90
       R-6        16        42        20       417       737        90
       R-7        58        70        20       993      1313        90
       R-8        34        60        20      2807      3127        90
       R-9        28        70        10      2521      2841        90
      R-10        35        66        10      2711      3031        90
      R-11        35        69        10      2618      2938        90
      R-12        25        85        20      2039      2359        90
      R-13        22        75        30      2325      2645        90
      R-14        22        85        10      1946      2266        90
      R-15        20        80        40      2136      2456        90
      R-16        20        85        40      1854      2174        90
      R-17        18        75        20      2231      2551        90
      R-18        15        75        20      1662      1982        90
      R-19        15        80        10      1757      2077        90
      R-20        30        50        10        10       330        90
      R-21        30        56        20      2903      3223        90
      R-22        28        52        20        12       332        90
      R-23        14        66        10      1563      1883        90
      R-24        25        50        10        36       356        90
      R-25        22        66        40      2424      2744        90
      R-26         8        62        10      1465      1785        90
      R-27        23        52        10       129       449        90
      R-28         4        55        20      1367      1687        90
      R-29        20        50        10       318       638        90
      R-30        20        55        10       223       543        90
      R-31        10        35        20       701      1021        90
      R-32        10        40        30       513       833        90
      R-33         8        40        40       605       925        90
      R-34         8        45        20      1266      1586        90
      R-35         5        35        10       796      1116        90
      R-36         5        45        10      1173      1493        90
      R-37         2        40        20       891      1211        90
      R-38         0        40        30       983      1303        90
      R-39         0        45        20      1078      1398        90
      R-40        36        18        10      1739      2059        90
      R-41        35        32        10      2678      2998        90
      R-42        33        32        20      2586      2906        90
      R-43        33        35        10      2493      2813        90
      R-44        32        20        10      1833      2153        90
      R-45        30        30        10      2025      2345        90
      R-46        34        25        30      1929      2249        90
      R-47        30        35        10      2400      2720        90
      R-48        36        40        10      2776      3096        90
      R-49        48        20        10       887      1207        90
      R-50        26        32        10      2212      2532        90
