InstanceName: Solomon-R110-25
Q: 200

         R         X         Y         Q         A         B         S
       R-D        35        35         0         0       230         0
       R-1        41        49        10       130       201        10
       R-2        35        17         7        20        89        10
       R-3        55        45        13       106       135        10
       R-4        55        20        19        71       195        10
       R-5        15        30        26        20       107        10
       R-6        25        30         3        54       153        10
       R-7        20        50         5        66       105        10
       R-8        10        43         9        61       138        10
       R-9        55        60        16        53       150        10
      R-10        30        60        16       101       156        10
      R-11        20        65        12        33       152        10
      R-12        50        35        19        38        97        10
      R-13        30        25        23        70       208        10
      R-14        15        10        20        32       137        10
      R-15        30         5         8        30       154        10
      R-16        10        20        19        54       105        10
      R-17         5        30         2        51       189        10
      R-18        20        40        12        77       106        10
      R-19        15        60        17        53       108        10
      R-20        45        65         9       109       152        10
      R-21        45        20        11        37        96        10
      R-22        45        10        18        59       144        10
      R-23        55         5        29        36       155        10
      R-24        65        35         3       118       190        10
      R-25        65        20         6        47       186        10
