InstanceName: Solomon-RC108-75
Q: 200

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0       240         0
       R-1        25        85        20        49       191        10
       R-2        22        75        30        30       168        10
       R-3        22        85        10        95       152        10
       R-4        20        80        40        69       193        10
       R-5        20        85        20        40       189        10
       R-6        18        75        20        60       159        10
       R-7        15        75        20        54       133        10
       R-8        15        80        10        67       144        10
       R-9        10        35        20        57       154        10
      R-10        10        40        30       106       161        10
      R-11         8        40        40        33       152        10
      R-12         8        45        20        32       148        10
      R-13         5        35        10        53       191        10
      R-14         5        45        10        35       194        10
      R-15         2        40        20        39       163        10
      R-16         0        40        20        41       141        10
      R-17         0        45        20        51       189        10
      R-18        44         5        20        73       130        10
      R-19        42        10        40        40       148        10
      R-20        42        15        10        94       179        10
      R-21        40         5        10        45       161        10
      R-22        40        15        40        64       149        10
      R-23        38         5        30        45       164        10
      R-24        38        15        10        51       194        10
      R-25        35         5        20        45       183        10
      R-26        95        30        30        90       169        10
      R-27        95        35        20        57       172        10
      R-28        92        30        10        55       174        10
      R-29        90        35        10        52       174        10
      R-30        88        30        10        52       147        10
      R-31        88        35        20        50       172        10
      R-32        87        30        10        61       178        10
      R-33        85        25        10        51       178        10
      R-34        85        35        30        83       168        10
      R-35        67        85        20        57       185        10
      R-36        65        85        40        43       186        10
      R-37        65        82        10        95       182        10
      R-38        62        80        30        38       141        10
      R-39        60        80        10        36       193        10
      R-40        60        85        30        61       138        10
      R-41        58        75        20        49       164        10
      R-42        55        80        10        33       180        10
      R-43        55        85        20       100       185        10
      R-44        55        82        10        35       142        10
      R-45        20        82        10        37       192        10
      R-46        18        80        10        71       184        10
      R-47         2        45        10        38       191        10
      R-48        42         5        10        50       184        10
      R-49        42        12        10        99       138        10
      R-50        72        35        30        83       178        10
      R-51        55        20        19        45       150        10
      R-52        25        30         3        25       150        10
      R-53        20        50         5        68       143        10
      R-54        55        60        16       107       200        10
      R-55        30        60        16        95       214        10
      R-56        50        35        19        91       198        10
      R-57        30        25        23        56       165        10
      R-58        15        10        20        51       182        10
      R-59        10        20        19        42       187        10
      R-60        15        60        17        62       203        10
      R-61        45        65         9        37       124        10
      R-62        65        35         3        29       168        10
      R-63        65        20         6        39       190        10
      R-64        45        30        17        20       139        10
      R-65        35        40        16        11       150        10
      R-66        41        37        16        97       198        10
      R-67        64        42         9        31       138        10
      R-68        40        60        21       101       216        10
      R-69        31        52        27         9       139        10
      R-70        35        69        23        30       210        10
      R-71        65        55        14        30       129        10
      R-72        63        65         8        27       202        10
      R-73         2        60         5        46       137        10
      R-74        20        20         8        71       193        10
      R-75         5         5        16        57       165        10
