InstanceName: Solomon-RC105-25
Q: 200

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0       240         0
       R-1        25        85        20        71       191        10
       R-2        22        75        30        30       150        10
       R-3        22        85        10        64       184        10
       R-4        20        80        40       151       161        10
       R-5        20        85        20        40       160        10
       R-6        18        75        20        96       123        10
       R-7        15        75        20        35       155        10
       R-8        15        80        10       101       111        10
       R-9        10        35        20       101       111        10
      R-10        10        40        30       123       144        10
      R-11         8        40        40        69        79        10
      R-12         8        45        20        32       152        10
      R-13         5        35        10       152       162        10
      R-14         5        45        10        35       117        10
      R-15         2        40        20        68        78        10
      R-16         0        40        20        59       114        10
      R-17         0        45        20       147       180        10
      R-18        44         5        20        79       124        10
      R-19        42        10        40        58       115        10
      R-20        42        15        10       111       162        10
      R-21        40         5        10        45       165        10
      R-22        40        15        40        94       119        10
      R-23        38         5        30        75        85        10
      R-24        38        15        10       128       194        10
      R-25        35         5        20       171       181        10
