InstanceName: Solomon-RC207-25
Q: 1000

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0       960         0
       R-1        25        85        20       591       874        10
       R-2        22        75        30        73       350        10
       R-3        22        85        10       473       588        10
       R-4        20        80        40       418       913        10
       R-5        20        85        20        40       390        10
       R-6        18        75        20       249       646        10
       R-7        15        75        20       281       438        10
       R-8        15        80        10       272       581        10
       R-9        10        35        20       236       625        10
      R-10        10        40        30       470       687        10
      R-11         8        40        40        33       510        10
      R-12         8        45        20       166       399        10
      R-13         5        35        10       359       911        10
      R-14         5        45        10        35       457        10
      R-15         2        40        20        39       538        10
      R-16         0        40        20       214       415        10
      R-17         0        45        20       359       909        10
      R-18        44         5        20       338       451        10
      R-19        42        10        40       205       422        10
      R-20        42        15        10       511       682        10
      R-21        40         5        10       158       391        10
      R-22        40        15        40       263       606        10
      R-23        38         5        30        45       522        10
      R-24        38        15        10       598       883        10
      R-25        35         5        20       348       904        10
