InstanceName: Solomon-R207-50
Q: 1000

         R         X         Y         Q         A         B         S
       R-D        35        35         0         0      1000         0
       R-1        41        49        10         0       974        10
       R-2        35        17         7         0       972        10
       R-3        55        45        13         0       967        10
       R-4        55        20        19       620       860        10
       R-5        15        30        26         0       969        10
       R-6        25        30         3       345       585        10
       R-7        20        50         5         0       968        10
       R-8        10        43         9       323       563        10
       R-9        55        60        16       329       569        10
      R-10        30        60        16       485       725        10
      R-11        20        65        12       146       386        10
      R-12        50        35        19         0       975        10
      R-13        30        25        23       639       879        10
      R-14        15        10        20         0       957        10
      R-15        30         5         8       118       358        10
      R-16        10        20        19         0       960        10
      R-17         5        30         2       682       922        10
      R-18        20        40        12         0       974        10
      R-19        15        60        17         0       957        10
      R-20        45        65         9         0       958        10
      R-21        45        20        11         0       971        10
      R-22        45        10        18       332       572        10
      R-23        55         5        29       146       386        10
      R-24        65        35         3         0       960        10
      R-25        65        20         6       716       956        10
      R-26        45        30        17         0       978        10
      R-27        35        40        16        60       300        10
      R-28        41        37        16         0       983        10
      R-29        64        42         9         0       960        10
      R-30        40        60        21       187       427        10
      R-31        31        52        27         0       972        10
      R-32        35        69        23         0       956        10
      R-33        53        52        11        24       264        10
      R-34        65        55        14         0       953        10
      R-35        63        65         8       630       870        10
      R-36         2        60         5        41       281        10
      R-37        20        20         8         0       968        10
      R-38         5         5        16       234       474        10
      R-39        60        12        31        33       273        10
      R-40        40        25         9       279       519        10
      R-41        42         7         5       334       574        10
      R-42        24        12         5        25       265        10
      R-43        23         3         7         0       955        10
      R-44        11        14        18       167       407        10
      R-45         6        38        16        29       269        10
      R-46         2        48         1         0       954        10
      R-47         8        56        27         0       955        10
      R-48        13        52        36         0       962        10
      R-49         6        68        30       401       641        10
      R-50        47        47        13         0       973        10
