InstanceName: Solomon-R211-50
Q: 1000

         R         X         Y         Q         A         B         S
       R-D        35        35         0         0      1000         0
       R-1        41        49        10       451       974        10
       R-2        35        17         7        18       534        10
       R-3        55        45        13       378       733        10
       R-4        55        20        19       477       965        10
       R-5        15        30        26        20       610        10
       R-6        25        30         3       245       684        10
       R-7        20        50         5       172       569        10
       R-8        10        43         9       245       640        10
       R-9        55        60        16       231       666        10
      R-10        30        60        16       430       779        10
      R-11        20        65        12        33       511        10
      R-12        50        35        19        50       523        10
      R-13        30        25        23       462       978        10
      R-14        15        10        20        32       694        10
      R-15        30         5         8        30       519        10
      R-16        10        20        19       102       543        10
      R-17         5        30         2       444       959        10
      R-18        20        40        12       229       582        10
      R-19        15        60        17        95       552        10
      R-20        45        65         9       418       829        10
      R-21        45        20        11        36       509        10
      R-22        45        10        18       246       657        10
      R-23        55         5        29        36       514        10
      R-24        65        35         3       435       960        10
      R-25        65        20         6       438       956        10
      R-26        45        30        17       428       827        10
      R-27        35        40        16         5       548        10
      R-28        41        37        16         6       526        10
      R-29        64        42         9        29       513        10
      R-30        40        60        21        91       522        10
      R-31        31        52        27        17       501        10
      R-32        35        69        23       482       955        10
      R-33        53        52        11        24       575        10
      R-34        65        55        14       367       776        10
      R-35        63        65         8       453       948        10
      R-36         2        60         5        41       615        10
      R-37        20        20         8       443       856        10
      R-38         5         5        16       130       577        10
      R-39        60        12        31        33       655        10
      R-40        40        25         9       201       596        10
      R-41        42         7         5       219       688        10
      R-42        24        12         5        25       560        10
      R-43        23         3         7       458       867        10
      R-44        11        14        18        59       514        10
      R-45         6        38        16        29       589        10
      R-46         2        48         1       338       805        10
      R-47         8        56        27        34       602        10
      R-48        13        52        36       454       962        10
      R-49         6        68        30       362       679        10
      R-50        47        47        13       379       810        10
