InstanceName: Solomon-RC208-50
Q: 1000

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0       960         0
       R-1        25        85        20       388       911        10
       R-2        22        75        30        30       546        10
       R-3        22        85        10       353       708        10
       R-4        20        80        40       425       913        10
       R-5        20        85        20        40       630        10
       R-6        18        75        20       228       667        10
       R-7        15        75        20       161       558        10
       R-8        15        80        10       229       624        10
       R-9        10        35        20       213       648        10
      R-10        10        40        30       404       753        10
      R-11         8        40        40        33       511        10
      R-12         8        45        20        46       519        10
      R-13         5        35        10       395       911        10
      R-14         5        45        10        35       697        10
      R-15         2        40        20        39       528        10
      R-16         0        40        20        94       535        10
      R-17         0        45        20       394       909        10
      R-18        44         5        20       218       571        10
      R-19        42        10        40        85       542        10
      R-20        42        15        10       391       802        10
      R-21        40         5        10        45       517        10
      R-22        40        15        40       229       640        10
      R-23        38         5        30        45       523        10
      R-24        38        15        10       389       914        10
      R-25        35         5        20       386       904        10
      R-26        95        30        30       389       788        10
      R-27        95        35        20        57       600        10
      R-28        92        30        10        55       575        10
      R-29        90        35        10        52       536        10
      R-30        88        30        10        90       521        10
      R-31        88        35        20        50       534        10
      R-32        87        30        10       425       898        10
      R-33        85        25        10        51       602        10
      R-34        85        35        30       342       751        10
      R-35        67        85        20       410       905        10
      R-36        65        85        40        43       617        10
      R-37        65        82        10       410       823        10
      R-38        62        80        30       114       561        10
      R-39        60        80        10        36       658        10
      R-40        60        85        30       191       586        10
      R-41        58        75        20       201       670        10
      R-42        55        80        10        33       568        10
      R-43        55        85        20       429       838        10
      R-44        55        82        10        49       504        10
      R-45        20        82        10        37       597        10
      R-46        18        80        10       315       782        10
      R-47         2        45        10        38       606        10
      R-48        42         5        10       396       904        10
      R-49        42        12        10       341       658        10
      R-50        72        35        30       351       782        10
