InstanceName: Solomon-R205-25
Q: 1000

         R         X         Y         Q         A         B         S
       R-D        35        35         0         0      1000         0
       R-1        41        49        10       658       898        10
       R-2        35        17         7        93       333        10
       R-3        55        45        13       436       676        10
       R-4        55        20        19       620       860        10
       R-5        15        30        26        20       260        10
       R-6        25        30         3       345       585        10
       R-7        20        50         5       251       491        10
       R-8        10        43         9       323       563        10
       R-9        55        60        16       329       569        10
      R-10        30        60        16       485       725        10
      R-11        20        65        12       146       386        10
      R-12        50        35        19       167       407        10
      R-13        30        25        23       639       879        10
      R-14        15        10        20        32       272        10
      R-15        30         5         8       118       358        10
      R-16        10        20        19       203       443        10
      R-17         5        30         2       682       922        10
      R-18        20        40        12       286       526        10
      R-19        15        60        17       204       444        10
      R-20        45        65         9       504       744        10
      R-21        45        20        11       153       393        10
      R-22        45        10        18       332       572        10
      R-23        55         5        29       146       386        10
      R-24        65        35         3       656       896        10
      R-25        65        20         6       716       956        10
