InstanceName: Solomon-RC206-25
Q: 1000

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0       960         0
       R-1        25        85        20       613       853        10
       R-2        22        75        30        92       332        10
       R-3        22        85        10       411       651        10
       R-4        20        80        40       584       824        10
       R-5        20        85        20        40       280        10
       R-6        18        75        20       328       568        10
       R-7        15        75        20       240       480        10
       R-8        15        80        10       307       547        10
       R-9        10        35        20       311       551        10
      R-10        10        40        30       459       699        10
      R-11         8        40        40       135       375        10
      R-12         8        45        20       163       403        10
      R-13         5        35        10       593       833        10
      R-14         5        45        10        35       275        10
      R-15         2        40        20       114       354        10
      R-16         0        40        20       195       435        10
      R-17         0        45        20       643       883        10
      R-18        44         5        20       275       515        10
      R-19        42        10        40       194       434        10
      R-20        42        15        10       477       717        10
      R-21        40         5        10       155       395        10
      R-22        40        15        40       315       555        10
      R-23        38         5        30       141       381        10
      R-24        38        15        10       621       861        10
      R-25        35         5        20       664       904        10
