InstanceName: Solomon-RC108-50
Q: 200

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0       240         0
       R-1        25        85        20        49       191        10
       R-2        22        75        30        30       168        10
       R-3        22        85        10        95       152        10
       R-4        20        80        40        69       193        10
       R-5        20        85        20        40       189        10
       R-6        18        75        20        60       159        10
       R-7        15        75        20        54       133        10
       R-8        15        80        10        67       144        10
       R-9        10        35        20        57       154        10
      R-10        10        40        30       106       161        10
      R-11         8        40        40        33       152        10
      R-12         8        45        20        32       148        10
      R-13         5        35        10        53       191        10
      R-14         5        45        10        35       194        10
      R-15         2        40        20        39       163        10
      R-16         0        40        20        41       141        10
      R-17         0        45        20        51       189        10
      R-18        44         5        20        73       130        10
      R-19        42        10        40        40       148        10
      R-20        42        15        10        94       179        10
      R-21        40         5        10        45       161        10
      R-22        40        15        40        64       149        10
      R-23        38         5        30        45       164        10
      R-24        38        15        10        51       194        10
      R-25        35         5        20        45       183        10
      R-26        95        30        30        90       169        10
      R-27        95        35        20        57       172        10
      R-28        92        30        10        55       174        10
      R-29        90        35        10        52       174        10
      R-30        88        30        10        52       147        10
      R-31        88        35        20        50       172        10
      R-32        87        30        10        61       178        10
      R-33        85        25        10        51       178        10
      R-34        85        35        30        83       168        10
      R-35        67        85        20        57       185        10
      R-36        65        85        40        43       186        10
      R-37        65        82        10        95       182        10
      R-38        62        80        30        38       141        10
      R-39        60        80        10        36       193        10
      R-40        60        85        30        61       138        10
      R-41        58        75        20        49       164        10
      R-42        55        80        10        33       180        10
      R-43        55        85        20       100       185        10
      R-44        55        82        10        35       142        10
      R-45        20        82        10        37       192        10
      R-46        18        80        10        71       184        10
      R-47         2        45        10        38       191        10
      R-48        42         5        10        50       184        10
      R-49        42        12        10        99       138        10
      R-50        72        35        30        83       178        10
