InstanceName: Solomon-RC208-25
Q: 1000

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0       960         0
       R-1        25        85        20       388       911        10
       R-2        22        75        30        30       546        10
       R-3        22        85        10       353       708        10
       R-4        20        80        40       425       913        10
       R-5        20        85        20        40       630        10
       R-6        18        75        20       228       667        10
       R-7        15        75        20       161       558        10
       R-8        15        80        10       229       624        10
       R-9        10        35        20       213       648        10
      R-10        10        40        30       404       753        10
      R-11         8        40        40        33       511        10
      R-12         8        45        20        46       519        10
      R-13         5        35        10       395       911        10
      R-14         5        45        10        35       697        10
      R-15         2        40        20        39       528        10
      R-16         0        40        20        94       535        10
      R-17         0        45        20       394       909        10
      R-18        44         5        20       218       571        10
      R-19        42        10        40        85       542        10
      R-20        42        15        10       391       802        10
      R-21        40         5        10        45       517        10
      R-22        40        15        40       229       640        10
      R-23        38         5        30        45       523        10
      R-24        38        15        10       389       914        10
      R-25        35         5        20       386       904        10
