InstanceName: Solomon-RC206-50
Q: 1000

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0       960         0
       R-1        25        85        20       613       853        10
       R-2        22        75        30        92       332        10
       R-3        22        85        10       411       651        10
       R-4        20        80        40       584       824        10
       R-5        20        85        20        40       280        10
       R-6        18        75        20       328       568        10
       R-7        15        75        20       240       480        10
       R-8        15        80        10       307       547        10
       R-9        10        35        20       311       551        10
      R-10        10        40        30       459       699        10
      R-11         8        40        40       135       375        10
      R-12         8        45        20       163       403        10
      R-13         5        35        10       593       833        10
      R-14         5        45        10        35       275        10
      R-15         2        40        20       114       354        10
      R-16         0        40        20       195       435        10
      R-17         0        45        20       643       883        10
      R-18        44         5        20       275       515        10
      R-19        42        10        40       194       434        10
      R-20        42        15        10       477       717        10
      R-21        40         5        10       155       395        10
      R-22        40        15        40       315       555        10
      R-23        38         5        30       141       381        10
      R-24        38        15        10       621       861        10
      R-25        35         5        20       664       904        10
      R-26        95        30        30       469       709        10
      R-27        95        35        20        86       326        10
      R-28        92        30        10        89       329        10
      R-29        90        35        10       134       374        10
      R-30        88        30        10       186       426        10
      R-31        88        35        20       105       345        10
      R-32        87        30        10       561       801        10
      R-33        85        25        10        51       291        10
      R-34        85        35        30       427       667        10
      R-35        67        85        20       597       837        10
      R-36        65        85        40        43       283        10
      R-37        65        82        10       497       737        10
      R-38        62        80        30       218       458        10
      R-39        60        80        10        36       276        10
      R-40        60        85        30       269       509        10
      R-41        58        75        20       316       556        10
      R-42        55        80        10        33       273        10
      R-43        55        85        20       514       754        10
      R-44        55        82        10       157       397        10
      R-45        20        82        10        37       277        10
      R-46        18        80        10       429       669        10
      R-47         2        45        10        45       285        10
      R-48        42         5        10       664       904        10
      R-49        42        12        10       380       620        10
      R-50        72        35        30       447       687        10
