InstanceName: Solomon-R111-75
Q: 200

         R         X         Y         Q         A         B         S
       R-D        35        35         0         0       230         0
       R-1        41        49        10        15       204        10
       R-2        35        17         7        18       202        10
       R-3        55        45        13        54       187        10
       R-4        55        20        19       138       169        10
       R-5        15        30        26        20       199        10
       R-6        25        30         3        76       131        10
       R-7        20        50         5        21       170        10
       R-8        10        43         9        87       112        10
       R-9        55        60        16        88       115        10
      R-10        30        60        16       107       150        10
      R-11        20        65        12        57        86        10
      R-12        50        35        19        15       192        10
      R-13        30        25        23       147       180        10
      R-14        15        10        20        32       187        10
      R-15        30         5         8        50        81        10
      R-16        10        20        19        29       139        10
      R-17         5        30         2       124       189        10
      R-18        20        40        12        47       136        10
      R-19        15        60        17        32       146        10
      R-20        45        65         9        79       182        10
      R-21        45        20        11        18       195        10
      R-22        45        10        18        76       127        10
      R-23        55         5        29        58        87        10
      R-24        65        35         3        58       190        10
      R-25        65        20         6       153       186        10
      R-26        45        30        17        58       208        10
      R-27        35        40        16         8        75        10
      R-28        41        37        16         6       136        10
      R-29        64        42         9        29       150        10
      R-30        40        60        21        49       102        10
      R-31        31        52        27        17       198        10
      R-32        35        69        23        67       186        10
      R-33        53        52        11        24        92        10
      R-34        65        55        14        36       183        10
      R-35        63        65         8       116       178        10
      R-36         2        60         5        41       112        10
      R-37        20        20         8        42       198        10
      R-38         5         5        16        74       101        10
      R-39        60        12        31        33       110        10
      R-40        40        25         9        65       114        10
      R-41        42         7         5        72       131        10
      R-42        24        12         5        25        91        10
      R-43        23         3         7        82       185        10
      R-44        11        14        18        59        88        10
      R-45         6        38        16        29        99        10
      R-46         2        48         1        63       180        10
      R-47         8        56        27        34       176        10
      R-48        13        52        36        27       192        10
      R-49         6        68        30        93       132        10
      R-50        47        47        13        41       203        10
      R-51        49        58        10        36       149        10
      R-52        27        43         9        11       195        10
      R-53        37        31        14        87       112        10
      R-54        57        29        18        90       197        10
      R-55        63        23         2       126       155        10
      R-56        53        12         6       106       163        10
      R-57        32        12         7        48       163        10
      R-58        36        26        18       178       210        10
      R-59        21        24        28        17       202        10
      R-60        17        34         3        70       201        10
      R-61        12        24        13        29       132        10
      R-62        24        58        19        46        79        10
      R-63        27        69        10        34       172        10
      R-64        15        77         9        48       107        10
      R-65        62        77        20        49       113        10
      R-66        49        73        25       104       159        10
      R-67        67         5        25        73       102        10
      R-68        56        39        36       117       176        10
      R-69        37        47         6        39        70        10
      R-70        37        56         5       123       198        10
      R-71        57        68        15        39       148        10
      R-72        47        16        25        22       197        10
      R-73        44        17         9        30       135        10
      R-74        46        13         8       138       169        10
      R-75        49        11        18        27       192        10
