InstanceName: Solomon-RC201-25
Q: 1000

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0       960         0
       R-1        25        85        20       673       793        10
       R-2        22        75        30       152       272        10
       R-3        22        85        10       471       591        10
       R-4        20        80        40       644       764        10
       R-5        20        85        20        73       193        10
       R-6        18        75        20       388       508        10
       R-7        15        75        20       300       420        10
       R-8        15        80        10       367       487        10
       R-9        10        35        20       371       491        10
      R-10        10        40        30       519       639        10
      R-11         8        40        40       195       315        10
      R-12         8        45        20       223       343        10
      R-13         5        35        10       653       773        10
      R-14         5        45        10        35       155        10
      R-15         2        40        20       174       294        10
      R-16         0        40        20       255       375        10
      R-17         0        45        20       703       823        10
      R-18        44         5        20       335       455        10
      R-19        42        10        40       254       374        10
      R-20        42        15        10       537       657        10
      R-21        40         5        10       215       335        10
      R-22        40        15        40       375       495        10
      R-23        38         5        30       201       321        10
      R-24        38        15        10       681       801        10
      R-25        35         5        20       784       904        10
