InstanceName: Solomon-RC104-75
Q: 200

         R         X         Y         Q         A         B         S
       R-D        40        50         0         0       240         0
       R-1        25        85        20         0       191        10
       R-2        22        75        30         0       199        10
       R-3        22        85        10         0       190        10
       R-4        20        80        40       141       171        10
       R-5        20        85        20         0       189        10
       R-6        18        75        20         0       196        10
       R-7        15        75        20         0       194        10
       R-8        15        80        10        91       121        10
       R-9        10        35        20        91       121        10
      R-10        10        40        30         0       198        10
      R-11         8        40        40        59        89        10
      R-12         8        45        20         0       197        10
      R-13         5        35        10       142       172        10
      R-14         5        45        10         0       194        10
      R-15         2        40        20        58        88        10
      R-16         0        40        20         0       188        10
      R-17         0        45        20         0       189        10
      R-18        44         5        20         0       184        10
      R-19        42        10        40         0       189        10
      R-20        42        15        10         0       194        10
      R-21        40         5        10         0       185        10
      R-22        40        15        40         0       195        10
      R-23        38         5        30        65        95        10
      R-24        38        15        10         0       194        10
      R-25        35         5        20       154       184        10
      R-26        95        30        30         0       171        10
      R-27        95        35        20         0       172        10
      R-28        92        30        10         0       174        10
      R-29        90        35        10         0       177        10
      R-30        88        30        10         0       178        10
      R-31        88        35        20         0       179        10
      R-32        87        30        10         0       178        10
      R-33        85        25        10         0       178        10
      R-34        85        35        30         0       182        10
      R-35        67        85        20         0       185        10
      R-36        65        85        40         0       186        10
      R-37        65        82        10         0       189        10
      R-38        62        80        30        75       105        10
      R-39        60        80        10         0       193        10
      R-40        60        85        30         0       189        10
      R-41        58        75        20         0       199        10
      R-42        55        80        10         0       196        10
      R-43        55        85        20         0       191        10
      R-44        55        82        10        64        94        10
      R-45        20        82        10         0       192        10
      R-46        18        80        10         0       192        10
      R-47         2        45        10         0       191        10
      R-48        42         5        10         0       184        10
      R-49        42        12        10         0       191        10
      R-50        72        35        30         0       194        10
      R-51        55        20        19         0       196        10
      R-52        25        30         3         0       205        10
      R-53        20        50         5        91       121        10
      R-54        55        60        16         0       211        10
      R-55        30        60        16       140       170        10
      R-56        50        35        19         0       211        10
      R-57        30        25        23         0       203        10
      R-58        15        10        20       152       182        10
      R-59        10        20        19         0       187        10
      R-60        15        60        17         0       203        10
      R-61        45        65         9         0       214        10
      R-62        65        35         3        52        82        10
      R-63        65        20         6         0       190        10
      R-64        45        30        17         0       209        10
      R-65        35        40        16         0       218        10
      R-66        41        37        16         0       216        10
      R-67        64        42         9        70       100        10
      R-68        40        60        21         0       220        10
      R-69        31        52        27        41        71        10
      R-70        35        69        23         0       210        10
      R-71        65        55        14         0       204        10
      R-72        63        65         8         0       202        10
      R-73         2        60         5         0       190        10
      R-74        20        20         8       141       171        10
      R-75         5         5        16         0       172        10
