InstanceName: vrplc9_5_15_s1
T: 3450
R: 30
Q: 15
C: 1

         L         X         Y
       L-D         0         0
       L-1      -299       253
       L-2       207      -161
       L-3      -345       184
       L-4      -368      -345
       L-5      -184       345

         R         L         A         B         S         Q
       R-1       L-1       414      1196       322         1
       R-2       L-3       552      1058       299         3
       R-3       L-1       414       759       368         3
       R-4       L-3       391      1150       391         4
       R-5       L-5       391       759       414         4
       R-6       L-1       713      1288       322         2
       R-7       L-2       506      1104       345         1
       R-8       L-1      1081      1679       414         2
       R-9       L-2       414      1104       230         2
      R-10       L-4       506       874       345         1
      R-11       L-1      1196      2047       322         2
      R-12       L-1       414      1219       230         4
      R-13       L-4       506      1403       253         4
      R-14       L-4       529      1035       414         2
      R-15       L-3       391      1012       345         2
      R-16       L-5       897      2139       322         1
      R-17       L-1       943      2047       299         3
      R-18       L-2      1449      2783       368         3
      R-19       L-1       874      2323       391         4
      R-20       L-2      1449      2760       414         4
      R-21       L-5      1196      2162       322         2
      R-22       L-4      1472      2576       345         1
      R-23       L-5      1656      2576       414         2
      R-24       L-3      1311      2415       230         2
      R-25       L-2      1472      2737       345         1
      R-26       L-3      1610      2553       322         2
      R-27       L-2      1311      2231       230         4
      R-28       L-3      1311      2645       253         4
      R-29       L-2      1564      2553       414         2
      R-30       L-1       828      2323       345         2
