InstanceName: vrplc10_8_20_s10
T: 3450
R: 40
Q: 15
C: 10

         L         X         Y
       L-D         0         0
       L-1       207      -115
       L-2       -23       115
       L-3       -69      -207
       L-4       276       -23
       L-5      -138       161
       L-6       184      -138
       L-7      -230       -46
       L-8      -276       345

         R         L         A         B         S         Q
       R-1       L-7       253      1058       368         2
       R-2       L-5       598      1127       299         3
       R-3       L-5       437       805       368         2
       R-4       L-1       253       782       414         3
       R-5       L-4       506       874       414         1
       R-6       L-7       345      1058       391         4
       R-7       L-5       920      1702       253         2
       R-8       L-3       828      1702       437         4
       R-9       L-3       299       690       414         1
      R-10       L-3       299      1058       322         1
      R-11       L-6       230       621       230         1
      R-12       L-2       161       782       414         4
      R-13       L-8       460      1081       322         3
      R-14       L-5       483       966       230         2
      R-15       L-2      1035      1449       299         2
      R-16       L-1      1426      2116       299         4
      R-17       L-1       299       874       437         1
      R-18       L-7       828      1633       299         4
      R-19       L-7       345      1242       230         1
      R-20       L-4       828      1656       414         3
      R-21       L-1      1081      2323       368         2
      R-22       L-7      1127      2208       299         3
      R-23       L-6      1265      2369       368         2
      R-24       L-4       782      2369       414         3
      R-25       L-7      1449      2576       414         1
      R-26       L-1      1196      2576       391         4
      R-27       L-2      1311      2852       253         2
      R-28       L-7      1495      2507       437         4
      R-29       L-2      1058      2645       414         1
      R-30       L-6       897      2346       322         1
      R-31       L-1       506      1518       230         1
      R-32       L-5       713      2047       414         4
      R-33       L-1      1449      2599       322         3
      R-34       L-7       943      1955       230         2
      R-35       L-5      1472      2737       299         2
      R-36       L-6      1771      2806       299         4
      R-37       L-2      1081      2553       437         1
      R-38       L-1      1587      2553       299         4
      R-39       L-2       851      2093       230         1
      R-40       L-2      1587      2829       414         3
