InstanceName: vrplc12_11_15_s3
T: 3450
R: 30
Q: 15
C: 3

         L         X         Y
       L-D         0         0
       L-1      -391      -322
       L-2       345      -276
       L-3        69       230
       L-4      -299        69
       L-5       161        69
       L-6       161       391
       L-7      -161       -23
       L-8         0      -161
       L-9       -46       345
      L-10      -253       437
      L-11       138       138

         R         L         A         B         S         Q
       R-1       L-7       184       943       299         4
       R-2       L-2       989      1587       322         4
       R-3       L-8       483      1311       391         1
       R-4       L-1       920      1518       230         2
       R-5       L-8       414      1058       368         2
       R-6       L-3       253       828       253         2
       R-7       L-5      1058      1518       345         4
       R-8       L-9       460       828       230         4
       R-9       L-9       391      1058       322         2
      R-10       L-4       759      1587       276         3
      R-11       L-3       368      1219       253         3
      R-12       L-8       253      1012       276         2
      R-13       L-4       345       874       437         3
      R-14      L-10       529      1035       391         3
      R-15       L-3       506       943       230         4
      R-16       L-4       667      1840       299         4
      R-17       L-5      1702      2783       322         4
      R-18       L-6      1449      2576       391         1
      R-19      L-11      1863      2852       230         2
      R-20       L-1      1219      2392       368         2
      R-21       L-9       690      1817       253         2
      R-22      L-11      1495      2530       345         4
      R-23       L-3       874      1817       230         4
      R-24       L-8      1242      2369       322         2
      R-25       L-3      1449      2714       276         3
      R-26      L-10      1012      2346       253         3
      R-27       L-5       828      2300       276         2
      R-28       L-8      1173      2415       437         3
      R-29       L-3      1311      2277       391         3
      R-30      L-10      1127      2369       230         4
