InstanceName: vrplc10_5_15_s1
T: 3450
R: 30
Q: 15
C: 1

         L         X         Y
       L-D         0         0
       L-1       207      -115
       L-2       -23       115
       L-3       -69      -207
       L-4       276       -23
       L-5      -138       161

         R         L         A         B         S         Q
       R-1       L-1       253       782       414         3
       R-2       L-5       920      1702       253         2
       R-3       L-3       299       690       414         1
       R-4       L-2       161       782       414         4
       R-5       L-2      1035      1449       299         2
       R-6       L-1       299       874       437         1
       R-7       L-4       828      1656       414         3
       R-8       L-2       345      1058       391         4
       R-9       L-5       345       966       253         2
      R-10       L-2       552      1081       253         1
      R-11       L-4       437      1104       322         4
      R-12       L-4      1219      1564       345         4
      R-13       L-4      1127      2024       345         3
      R-14       L-2       782      1357       230         4
      R-15       L-4      1104      1863       391         2
      R-16       L-4       782      2369       414         3
      R-17       L-2      1311      2852       253         2
      R-18       L-2      1058      2645       414         1
      R-19       L-5       713      2047       414         4
      R-20       L-5      1472      2737       299         2
      R-21       L-2      1081      2553       437         1
      R-22       L-2      1587      2829       414         3
      R-23       L-3      1081      2668       391         4
      R-24       L-4      1058      2507       253         2
      R-25       L-4      1150      2093       253         1
      R-26       L-2      1104      2484       322         4
      R-27       L-2      1909      2898       345         4
      R-28       L-2      1817      2806       345         3
      R-29       L-4      1357      2484       230         4
      R-30       L-3      1886      2829       391         2
