InstanceName: vrplc11_11_10_s8
T: 3450
R: 20
Q: 15
C: 8

         L         X         Y
       L-D         0         0
       L-1      -345       276
       L-2       -23      -138
       L-3       -69       -46
       L-4       299        23
       L-5        69       276
       L-6      -368       -92
       L-7       322       276
       L-8       253      -437
       L-9      -276      -391
      L-10      -322       138
      L-11      -276        46

         R         L         A         B         S         Q
       R-1       L-7       529      1334       414         2
       R-2      L-11       621      1219       253         3
       R-3       L-3        92       759       437         4
       R-4       L-5       460      1150       345         2
       R-5       L-1       460      1150       299         4
       R-6      L-10       368       782       299         4
       R-7       L-5       299      1012       322         3
       R-8       L-9       920      1449       368         2
       R-9      L-11       713      1380       391         1
      R-10       L-6       690      1242       322         3
      R-11      L-11      1587      2507       414         2
      R-12       L-2      1196      2139       253         3
      R-13       L-2       644      1817       437         4
      R-14      L-10      1242      2576       345         2
      R-15      L-11      1012      2576       299         4
      R-16      L-11       782      1863       299         4
      R-17       L-8      1380      2461       322         3
      R-18       L-2      1656      2645       368         2
      R-19       L-6      1288      2392       391         1
      R-20       L-1      1403      2484       322         3
