InstanceName: vrplc12_5_15_s6
T: 3450
R: 30
Q: 15
C: 6

         L         X         Y
       L-D         0         0
       L-1      -391      -322
       L-2       345      -276
       L-3        69       230
       L-4      -299        69
       L-5       161        69

         R         L         A         B         S         Q
       R-1       L-2       989      1587       322         4
       R-2       L-4       759      1587       276         3
       R-3       L-5       437       805       253         1
       R-4       L-2       460      1334       230         1
       R-5       L-1       529      1357       322         1
       R-6       L-5       621      1357       345         2
       R-7       L-4       667      1564       322         1
       R-8       L-5      1334      1840       299         4
       R-9       L-2       460       874       391         3
      R-10       L-3       391       736       368         3
      R-11       L-3       690      1150       253         3
      R-12       L-2      1012      1863       276         4
      R-13       L-2       460       989       368         1
      R-14       L-1       529      1035       299         3
      R-15       L-5      1104      1702       230         2
      R-16       L-5      1702      2783       322         4
      R-17       L-3      1449      2714       276         3
      R-18       L-3       897      2300       253         1
      R-19       L-3      1288      2208       230         1
      R-20       L-2      1610      2645       322         1
      R-21       L-3      1173      2254       345         2
      R-22       L-5      1449      2714       322         1
      R-23       L-3      1840      2760       299         4
      R-24       L-3      1449      2622       391         3
      R-25       L-1      1495      2553       368         3
      R-26       L-5      1150      2300       253         3
      R-27       L-5      1679      2599       276         4
      R-28       L-5      1219      2783       368         1
      R-29       L-3      1564      2783       299         3
      R-30       L-4      1794      2783       230         2
