InstanceName: vrplc9_8_10_s7
T: 3450
R: 20
Q: 15
C: 7

         L         X         Y
       L-D         0         0
       L-1      -299       253
       L-2       207      -161
       L-3      -345       184
       L-4      -368      -345
       L-5      -184       345
       L-6      -276      -115
       L-7         0      -368
       L-8      -460       322

         R         L         A         B         S         Q
       R-1       L-1       414      1196       322         1
       R-2       L-3       552      1058       299         3
       R-3       L-3       391       828       299         4
       R-4       L-6       299       667       299         4
       R-5       L-7       368      1265       322         3
       R-6       L-5       391       851       276         4
       R-7       L-6       299      1035       276         2
       R-8       L-7       506      1380       368         1
       R-9       L-7       690      1518       230         4
      R-10       L-6       851      1242       299         2
      R-11       L-5       897      2139       322         1
      R-12       L-1       943      2047       299         3
      R-13       L-7      1357      2507       299         4
      R-14       L-3       920      1909       299         4
      R-15       L-1      1380      2392       322         3
      R-16       L-6      1150      2668       276         4
      R-17       L-8      1058      2346       276         2
      R-18       L-6      1265      2438       368         1
      R-19       L-1      1610      2783       230         4
      R-20       L-7      1541      2668       299         2
