InstanceName: vrplc9_8_20_s5
T: 3450
R: 40
Q: 15
C: 5

         L         X         Y
       L-D         0         0
       L-1      -299       253
       L-2       207      -161
       L-3      -345       184
       L-4      -368      -345
       L-5      -184       345
       L-6      -276      -115
       L-7         0      -368
       L-8      -460       322

         R         L         A         B         S         Q
       R-1       L-1       414      1196       322         1
       R-2       L-3       552      1058       299         3
       R-3       L-3       391       828       299         4
       R-4       L-6       299       667       299         4
       R-5       L-7       368      1265       322         3
       R-6       L-5       391       851       276         4
       R-7       L-6       299      1035       276         2
       R-8       L-7       506      1380       368         1
       R-9       L-7       690      1518       230         4
      R-10       L-6       851      1242       299         2
      R-11       L-2       276       966       276         4
      R-12       L-4       506       897       437         1
      R-13       L-6       414      1219       391         2
      R-14       L-1       414       759       368         3
      R-15       L-8       575      1426       299         4
      R-16       L-3       391      1150       391         4
      R-17       L-5       391       759       414         4
      R-18       L-7       368       736       368         2
      R-19       L-1       713      1288       322         2
      R-20       L-2       506      1104       345         1
      R-21       L-5       897      2139       322         1
      R-22       L-1       943      2047       299         3
      R-23       L-7      1357      2507       299         4
      R-24       L-3       920      1909       299         4
      R-25       L-1      1380      2392       322         3
      R-26       L-6      1150      2668       276         4
      R-27       L-8      1058      2346       276         2
      R-28       L-6      1265      2438       368         1
      R-29       L-1      1610      2783       230         4
      R-30       L-7      1541      2668       299         2
      R-31       L-6      1058      2553       276         4
      R-32       L-6      1196      2530       437         1
      R-33       L-3      1127      2277       391         2
      R-34       L-2      1449      2783       368         3
      R-35       L-6      1357      2507       299         4
      R-36       L-1       874      2323       391         4
      R-37       L-2      1449      2760       414         4
      R-38       L-5      1495      2415       368         2
      R-39       L-5      1196      2162       322         2
      R-40       L-4      1472      2576       345         1
