InstanceName: vrplc13_8_10_s6
T: 3450
R: 20
Q: 15
C: 6

         L         X         Y
       L-D         0         0
       L-1      -276       -69
       L-2      -161       368
       L-3       368       -46
       L-4      -138      -276
       L-5      -391      -161
       L-6      -115      -322
       L-7       184      -230
       L-8       368       230

         R         L         A         B         S         Q
       R-1       L-7       299      1012       276         3
       R-2       L-2       414      1104       368         3
       R-3       L-4       368      1242       414         4
       R-4       L-3       391      1058       391         1
       R-5       L-2       414      1058       230         2
       R-6       L-3       391       989       230         2
       R-7       L-5       437      1058       299         3
       R-8       L-5       437      1104       230         4
       R-9       L-2       644      1173       253         3
      R-10       L-2       414       759       299         3
      R-11       L-5      1173      2208       276         3
      R-12       L-1      1242      2162       368         3
      R-13       L-1      1035      2553       414         4
      R-14       L-8      1058      2369       391         1
      R-15       L-5      1242      2553       230         2
      R-16       L-5      1403      2323       230         2
      R-17       L-7      1334      2461       299         3
      R-18       L-2      1265      2530       230         4
      R-19       L-1      1357      2346       253         3
      R-20       L-6      1426      2346       299         3
