InstanceName: vrplc9_11_20_s2
T: 3450
R: 40
Q: 15
C: 2

         L         X         Y
       L-D         0         0
       L-1      -299       253
       L-2       207      -161
       L-3      -345       184
       L-4      -368      -345
       L-5      -184       345
       L-6      -276      -115
       L-7         0      -368
       L-8      -460       322
       L-9        92      -161
      L-10      -437       276
      L-11      -115      -207

         R         L         A         B         S         Q
       R-1       L-3       391       897       230         3
       R-2       L-1       414      1196       322         1
       R-3       L-3       552      1058       299         3
       R-4       L-3       391       828       299         4
       R-5      L-10       782      1472       276         2
       R-6      L-11       989      1403       253         4
       R-7       L-6       299       667       299         4
       R-8       L-7       368      1265       322         3
       R-9       L-2       483      1357       368         1
      R-10       L-5       391       851       276         4
      R-11       L-4       506      1380       253         4
      R-12       L-8       575      1472       322         4
      R-13      L-10       943      1311       368         3
      R-14       L-6       299      1035       276         2
      R-15       L-7       506      1380       368         1
      R-16       L-7       690      1518       230         4
      R-17      L-10       621      1426       391         3
      R-18      L-10       920      1656       322         4
      R-19       L-7       368      1035       437         2
      R-20      L-11       368       943       368         1
      R-21      L-11      1081      2645       230         3
      R-22       L-5       897      2139       322         1
      R-23       L-1       943      2047       299         3
      R-24       L-7      1357      2507       299         4
      R-25       L-8      1127      2116       276         2
      R-26       L-3      1702      2691       253         4
      R-27       L-3       920      1909       299         4
      R-28       L-1      1380      2392       322         3
      R-29      L-11      1196      2760       368         1
      R-30       L-6      1150      2668       276         4
      R-31      L-10      1403      2346       253         4
      R-32      L-10       966      2185       322         4
      R-33       L-8      1380      2369       368         3
      R-34       L-8      1058      2346       276         2
      R-35       L-6      1265      2438       368         1
      R-36       L-1      1610      2783       230         4
      R-37       L-8      1081      2369       391         3
      R-38       L-8      1311      2346       322         4
      R-39      L-11      1012      1955       437         2
      R-40       L-9       966      2162       368         1
