InstanceName: vrplc12_11_10_s4
T: 150
Q: 15
C: 4
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -17       -14
       L-2        15       -12
       L-3         3        10
       L-4       -13         3
       L-5         7         3
       L-6         7        17
       L-7        -7        -1
       L-8         0        -7
       L-9        -2        15
      L-10       -11        19
      L-11         6         6

        R         L         A         B         S         Q
     R-P1       L-7         8        41        13         4
     R-P2       L-2        43        69        14         4
     R-P3       L-8        21        57        17         1
     R-P4       L-1        40        66        10         2
     R-P5       L-8        18        46        16         2
     R-P6       L-3        11        36        11         2
     R-P7       L-5        46        66        15         4
     R-P8       L-9        20        36        10         4
     R-P9       L-9        17        46        14         2
    R-P10       L-4        33        69        12         3
     R-D1       L-4        29        80        13        -4
     R-D2       L-5        74       121        14        -4
     R-D3       L-6        63       112        17        -1
     R-D4      L-11        81       124        10        -2
     R-D5       L-1        53       104        16        -2
     R-D6       L-9        30        79        11        -2
     R-D7      L-11        65       110        15        -4
     R-D8       L-3        38        79        10        -4
     R-D9       L-8        54       103        14        -2
    R-D10       L-3        63       118        12        -3
