InstanceName: vrplc12_5_10_s9
T: 150
Q: 15
C: 9
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -17       -14
       L-2        15       -12
       L-3         3        10
       L-4       -13         3
       L-5         7         3

        R         L         A         B         S         Q
     R-P1       L-2        43        69        14         4
     R-P2       L-4        33        69        12         3
     R-P3       L-5        19        35        11         1
     R-P4       L-2        20        58        10         1
     R-P5       L-1        23        59        14         1
     R-P6       L-5        27        59        15         2
     R-P7       L-4        29        68        14         1
     R-P8       L-5        58        80        13         4
     R-P9       L-2        20        38        17         3
    R-P10       L-3        17        32        16         3
     R-D1       L-5        74       121        14        -4
     R-D2       L-3        63       118        12        -3
     R-D3       L-3        39       100        11        -1
     R-D4       L-3        56        96        10        -1
     R-D5       L-2        70       115        14        -1
     R-D6       L-3        51        98        15        -2
     R-D7       L-5        63       118        14        -1
     R-D8       L-3        80       120        13        -4
     R-D9       L-3        63       114        17        -3
    R-D10       L-1        65       111        16        -3
